...1,Province_ID,SubmissionDate,start,end,today,deviceid,Enumerator_ID,District_name,Commune_name,Hatchery_ID,I_Q3,I_Q4,I_Q4o,Start.PlotRoster,numplots,plot_roster_count,plotnum_1,R_Q1_1,R_Q2_1,R_Q2o_1,R_Q3_1,R_Q3_0_1,R_Q301_1,R_Q3a_1,District_name_source_1,Commune_name_source_1,R_Q4_1,R_Q4a_1,R_Q5_1,R_Q6_1,R_Q7_1,R_Q8_1,R_Q8a_1,R_Q8b_1,R_Q8c_1,R_Q9_1,R_Q10_1,plotnum_2,R_Q1_2,R_Q2_2,R_Q2o_2,R_Q3_2,R_Q3_0_2,R_Q301_2,R_Q3a_2,District_name_source_2,Commune_name_source_2,R_Q4_2,R_Q4a_2,R_Q5_2,R_Q6_2,R_Q7_2,R_Q8_2,R_Q8a_2,R_Q8b_2,R_Q8c_2,R_Q9_2,R_Q10_2,plotnum_3,R_Q1_3,R_Q2_3,R_Q2o_3,R_Q3_3,R_Q3_0_3,R_Q301_3,R_Q3a_3,District_name_source_3,Commune_name_source_3,R_Q4_3,R_Q4a_3,R_Q5_3,R_Q6_3,R_Q7_3,R_Q8_3,R_Q8a_3,R_Q8b_3,R_Q8c_3,R_Q9_3,R_Q10_3,R_Q11,R_Q12,R_Q11b,R_Q11c,R_Q11c_option_1,R_Q11c_option_2,R_Q11c_option_3,R_Q11c_option_4,R_Q11c_option_5,R_Q11c_option_6,R_Q11c_option_7,R_Q11c1,End.PlotRoster,Sampling_roster_count,Samplenum_1,Strain_name_1,S_Q0b_1,S_Q1.Altitude_1,S_Q1.Accuracy_1,S_Q2_1,Ponds_1,Sample_count_1,S_Q10_1_1,S_Q10b_1_1,S_Q10_1_2,S_Q10b_1_2,S_Q10_1_3,S_Q10b_1_3,Samplenum_2,Strain_name_2,S_Q0b_2,S_Q1.Latitude_2,S_Q1.Longitude_2,S_Q1.Altitude_2,S_Q1.Accuracy_2,S_Q2_2,Ponds_2,Sample_count_2,S_Q10_2_1,S_Q10b_2_1,S_Q10_2_2,S_Q10b_2_2,S_Q10_2_3,S_Q10b_2_3,Samplenum_3,Strain_name_3,S_Q0b_3,S_Q1.Latitude_3,S_Q1.Longitude_3,S_Q1.Altitude_3,S_Q1.Accuracy_3,S_Q2_3,Ponds_3,Sample_count_3,S_Q10_3_1,S_Q10b_3_1,S_Q10_3_2,S_Q10b_3_2,S_Q10_3_3,S_Q10b_3_3,nb_samples,End.Sampling_roster,Dur.Roster,Dur.Sampling,signature,End_Comments,X__version__,instanceID,formdef_version,KEY,X,S1_ID,S1_assign,S2_ID,S2_assign,S3_ID,S3_assign,S4_ID,S4_assign,S5_ID,S5_assign,S6_ID,S6_assign,S7_ID,S7_assign,S8_ID,S8_assign,S9_ID,S9_assign,total_samples,Str1_similar,Str2_similar,Str3_similar,Str1_dominant,Str2_dominant,Str3_dominant,Strain_present_1_sample,Strain_present_1_pond,Province_name,Region,CSMAP,R_Q8_rec,GIFT_for_sale,Origin_fin,S_Q1.Latitude_anonymized,S_Q1.Longitude_anonymized
28,24,10/03/2023 17:10,10/03/2023 13:16,10/03/2023 17:05,03-Oct-23,0AED3878-A257-4CDA-8785-9CC74942B7FD,4,223,7828,31001,Chủ trại,option_4,,12:17:00,2,2,1,Bảo Lộc,option_4,,Ông Linh,option_1,378600243,30,,,option_1,option_1,option_1,option_3,option_2,25,option_3,option_1,25,1000,2,2,Thái Lan,option_4,,Ông Trí,option_2,,30,,,option_1,option_1,option_1,option_3,option_2,16,option_3,option_1,30,1000,2,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,12:27:00,2,1,Bảo Lộc,0,15.7,5,,3 cơ sở ngẫu nhiên (1:1:1,3,,,,,,,2,Thái Lan,2,21.40313298,105.9910834,16.2,8.1,3,2 cơ sở (2:1),3,Q5-1337,,Q5-1231,,Q5-1210,,,,,,,,,,,,,,,,,,6,12:27:00,9,0,https://vhlss23test.surveycto.com/view/submission-attachment/1696317923789.jpg?uuid=uuid%3A109500c9-cc8a-4121-85b7-e3b2f4cf04b9,"Dòng cá Bảo Lộc không còn, trại chỉ còn dòng Thái Lan",vPLgT4JJBcbPzUGUssuxcS,uuid:109500c9-cc8a-4121-85b7-e3b2f4cf04b9,2306161529,uuid:109500c9-cc8a-4121-85b7-e3b2f4cf04b9,4,,,,,,,Q5-1337,RIA1,Q5-1231,RIA1,Q5-1210,RIA1,,,,,,,3,FALSE,TRUE,FALSE,,RIA1,,GIFT-derived,GIFT-derived,Tinh Bac Giang,2_NMMA,1,250000,FALSE,FALSE,21.36493106,105.9919148
29,24,10/03/2023 17:10,10/03/2023 09:12,10/03/2023 17:10,03-Oct-23,0AED3878-A257-4CDA-8785-9CC74942B7FD,4,217,7375,2654,Giám đốc,option_1,,05:15:00,1,1,1,Đài Loan,option_5,,Đài Loan,option_2,,,,,option_1,option_1,option_1,option_3,option_1,2.5,option_3,option_1,40,500,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_1,Đài Loan,option_2,,,,,,,,,,05:25:00,1,1,Đài Loan,9,9.8,4.8,5,3 cơ sở ngẫu nhiên (1:1:1,3,Q5-1381,,Q5-1287,,Q5-1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,05:57:00,9,32,https://vhlss23test.surveycto.com/view/submission-attachment/1696301879937.jpg?uuid=uuid%3A8e41f264-2974-4bbb-a4e6-269f9b21802e,"Giống cá được người Đài Loan cho cách đây 5 năm, và trung tâm nuôi giữ cá bố mẹ để nhân giống và tự xửa lý đơn tính",vPLgT4JJBcbPzUGUssuxcS,uuid:8e41f264-2974-4bbb-a4e6-269f9b21802e,2306161529,uuid:8e41f264-2974-4bbb-a4e6-269f9b21802e,35,Q5-1381,RIA1,Q5-1287,RIA1,Q5-1057,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Bac Giang,2_NMMA,1,25000,TRUE,FALSE,21.34270375,106.2568006
30,25,4/28/2023 23:45,4/28/2023 9:51,4/28/2023 23:41,28-Apr-23,3.58E+14,5,Cẩm Khê,Phú Khê,2452,Chủ trại,option_4,,07:56:22,1,1,1,Bảo Lộc,option_4,,Công ty TNHH Đức Trí,option_1,912364716,30,Tứ Kỳ,Thị Trấn Hưng Đạo,option_1,option_1,option_2,,option_2,20,option_3,option_1,30,1500,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,08:04:15,1,1,Bảo Lộc,2,-6,15,20,2 cơ sở (2:1),3,,Q1-371,,Q1-503,,Q1-773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10:50:06,7,165,https://vhlss23test.surveycto.com/view/submission-attachment/1682699843661.jpg?uuid=uuid%3A6e43ca3d-7f0d-4ed2-ad55-3be57f10f2ce,"Cách đây 10 năm thì trại có có dòng siêu tốc, nhưng sau đó được thay thế bằng dòng Bảo Lộc xuất xứ bên Trung Quốc với nhiều ưu thế hơn, nuôi càng lâu càng to nên trại chọn loại này để ươm và bán.",vPLgT4JJBcbPzUGUssuxcS,uuid:6e43ca3d-7f0d-4ed2-ad55-3be57f10f2ce,2304241104,uuid:6e43ca3d-7f0d-4ed2-ad55-3be57f10f2ce,59,Q1-371,RIA1,Q1-503,RIA1,Q1-773,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Phu Tho,2_NMMA,1,2.00E+05,FALSE,FALSE,21.41449325,105.112402
31,25,6/28/2023 9:53,6/28/2023 8:59,6/28/2023 9:53,28-Jun-23,E4881F81-7CE5-4A9C-BD11-E9E9E0116051,3,231,8128,280601,Giám đốc trại,option_3,,09:05:00,1,1,1,Bảo lộc,option_4,,Hợp tác xã thuỷ sản hiệu linh,option_1,978354342,25,235,8353,option_1,option_1,option_2,,option_2,5,option_3,option_1,100,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,09:22:00,1,1,Bảo lộc,1,23.6,16,5,1 cơ sở,3,Q2-853,,Q2-982,,Q3-1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,09:51:00,16,29,https://vhlss23test.surveycto.com/view/submission-attachment/1687920710707.jpg?uuid=uuid%3Abc8483a6-e227-4790-bd1c-d08bd07de2c2,Do trại cá vừa mới xuất bán cá to đi nên trong trại chỉ còn lại cá nhỏ đã bấm lấy mẫu và cắt lấy mẫu,vPLgT4JJBcbPzUGUssuxcS,uuid:bc8483a6-e227-4790-bd1c-d08bd07de2c2,2306161529,uuid:bc8483a6-e227-4790-bd1c-d08bd07de2c2,86,Q2-853,RIA1,Q2-982,03_BEST,Q3-1462,RIA1,,,,,,,,,,,,,3,FALSE,FALSE,FALSE,None,,,GIFT-derived,Other,Tinh Phu Tho,2_NMMA,1,50000,FALSE,TRUE,21.53380294,105.0799435
32,25,4/28/2023 23:45,4/28/2023 11:20,4/28/2023 23:35,28-Apr-23,3.58E+14,5,Cẩm Khê,Tuy Lộc,280401,Chủ trại,option_4,,09:23:13,3,3,1,Bảo Lộc,option_4,,Trại cá Đạo Sức,option_1,918742313,34,Hưng Hà,Duyên Hải,option_1,option_2,option_1,option_3,option_2,40,option_3,option_1,50,900,4,2,Đường Nghiệp,option_4,,Trại cá anh Đang,option_1,985553242,27,99,99,option_1,option_2,option_1,option_3,option_2,40,option_3,option_1,50,800,4,3,Rô Thái,option_4,,Trại cá anh Hải,option_1,348280688,30,Gia Lộc,99,option_1,option_2,option_1,option_3,option_2,20,option_3,option_1,50,800,4,option_2,,option_2,,,,,,,,,,10:40:03,3,1,Bảo Lộc,3,1.2,5.6,7,3 cơ sờ (1:1:1),3,,Q1-663,,Q1-735,,Q1-744,2,Đường Nghiệp,3,21.4808263,105.0646141,3.4,8.7,5,3 cơ sờ (1:1:1),3,,Q1-662,,Q1-685,,Q1-767,3,Rô Thái,0,21.481872,105.064538,4.6,9.7,,3 cơ sở ngẫu nhiên (1:1:1,3,,,,,,,9,10:41:47,76,1,https://vhlss23test.surveycto.com/view/submission-attachment/1682659979587.jpg?uuid=uuid%3A886f4541-bd54-4b68-9ea4-8dee5b609b75,"Chỉ lấy được 2 dòng cá rô phi gồm Bảo Lộc và Đường Nghiệp. Còn dòng rô Thái hiện tại trại chưa ươm lại, phải 1 tháng nữa mới ươm.",vPLgT4JJBcbPzUGUssuxcS,uuid:886f4541-bd54-4b68-9ea4-8dee5b609b75,2304241104,uuid:886f4541-bd54-4b68-9ea4-8dee5b609b75,58,Q1-663,RIA1,Q1-735,RIA1,Q1-744,RIA1,Q1-662,RIA1,Q1-685,RIA1,Q1-767,RIA1,,,,,,,6,TRUE,TRUE,FALSE,RIA1,RIA1,,GIFT-derived,GIFT-derived,Tinh Phu Tho,2_NMMA,1,4.00E+05,FALSE,FALSE,21.503848,105.0400895
33,27,10/05/2023 17:41,10/05/2023 11:06,10/05/2023 17:19,05-Oct-23,0AED3878-A257-4CDA-8785-9CC74942B7FD,4,256,9286,2018,Phó giám đốc kỹ thuật,option_4,,10:07:00,1,1,1,Cá rô phi đơn tính,option_1,,Viện thuỷ sản Bắc Ninh,option_1,222650049,27,261,9394,option_1,option_4,option_1,option_3,option_99,40,option_3,option_1,100,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_1,Cá rô phi đơn tính,option_1,option_2 option_6 option_7,0,1,0,0,0,1,1,Hỗ trợ về giấy tờ pháp lý,10:16:00,1,1,Cá rô phi đơn tính,1,7.3,9.8,3,1 cơ sở,3,Q5-1103,,Q5-1290,,Q5-1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10:37:00,8,21,https://vhlss23test.surveycto.com/view/submission-attachment/1696480674380.jpg?uuid=uuid%3A6a437acf-032b-47c9-92de-d07bdad7ac09,,vPLgT4JJBcbPzUGUssuxcS,uuid:6a437acf-032b-47c9-92de-d07bdad7ac09,2306161529,uuid:6a437acf-032b-47c9-92de-d07bdad7ac09,50,Q5-1103,RIA1,Q5-1290,RIA1,Q5-1380,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Bac Ninh,1_RRD,1,4.00E+05,FALSE,TRUE,21.17828525,106.0978283
34,27,10/05/2023 17:41,10/05/2023 09:34,10/05/2023 17:41,05-Oct-23,0AED3878-A257-4CDA-8785-9CC74942B7FD,4,261,9394,51001,Chủ trại,option_4,,07:35:00,1,1,1,Bảo lộc,option_4,,Chị Hà,option_1,967108259,31,,,option_1,option_1,option_1,option_3,option_2,80,option_3,option_1,30,800,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,07:39:00,1,1,Bảo lộc,1,9.5,13.5,5,1 cơ sở,3,Q5-1470,,Q5-1156,,Q5-1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,08:02:00,4,22,https://vhlss23test.surveycto.com/view/submission-attachment/1696474942994.jpg?uuid=uuid%3A22bcfa4b-21ca-40c1-8a54-9c6ec6922168,,vPLgT4JJBcbPzUGUssuxcS,uuid:22bcfa4b-21ca-40c1-8a54-9c6ec6922168,2306161529,uuid:22bcfa4b-21ca-40c1-8a54-9c6ec6922168,9,Q5-1470,RIA1,Q5-1156,RIA1,Q5-1230,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Bac Ninh,1_RRD,1,8.00E+05,FALSE,FALSE,21.07025927,105.9890336
35,30,5/15/2023 16:13,5/15/2023 15:52,5/15/2023 16:13,15-May-23,(web),1,Tứ Kỳ,Hưng Đạo,200401,Giám Đốc,option_4,,08:15:58,2,2,1,Bảo Lộc,option_5,,99,option_2,,,99,99,option_1,option_1,option_2,,option_99,200,option_3,option_1,55,1700,3,2,Na Uy,option_5,,Genomar,option_2,,,99,99,option_1,option_1,option_2,,option_99,180,option_3,option_1,45,1700,4,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,09:30:50,2,1,Bảo Lộc,8,0,2154.8,10,3 cơ sở ngẫu nhiên (1:1:1,3,Q1-061,,Q1-249,,Q1-126,,2,Na Uy,2,21.035788,105.8151238,0,33.6,10,2 cơ sở (2:1),3,Q1-033,,Q1-475,,Q1-120,,,,,,,,,,,,,,,,,,6,11:30:11,74,119,https://vhlss23test.surveycto.com/view/submission-attachment/HD_TC_1_2004-1684141971931.jpg?uuid=uuid%3A264d6b9f-8d25-48e8-bf35-f53ea5a3ff88,Đang nuôi thử dòng Na Uy,vPLgT4JJBcbPzUGUssuxcS,uuid:264d6b9f-8d25-48e8-bf35-f53ea5a3ff88,2304241104,uuid:264d6b9f-8d25-48e8-bf35-f53ea5a3ff88,25,Q1-061,GENOGain,Q1-249,GENOGain,Q1-126,RIA1,Q1-033,GENOGain,,,Q1-120,RIA1,,,,,,,5,FALSE,FALSE,FALSE,None,None,,GIFT-derived,Other,Tinh Hai Duong,1_RRD,1,2.00E+06,FALSE,FALSE,21.06789879,105.8079441
36,30,4/24/2023 22:18,4/22/2023 12:16,4/22/2023 22:53,22-Apr-23,668fa2006a285b94,1,Gia loc,Hong hung,22042023,Chu ho,option_4,,10:18:16,1,1,1,Thai lan,option_5,,Pc parm,,,,Ko ro,Ko ro,option_1,option_1,option_2,,option_2,20,option_3,option_1,90,1300,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_1,option_2 option_4 option_5,0,1,0,1,1,0,0,,10:24:23,1,1,Thai lan,5,-20.6,5.8,19,3 cơ sở ngẫu nhiên (1:1:1,3,,Q1-273,,Q1-093,,Q1-426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10:27:29,6,3,,,vPLgT4JJBcbPzUGUssuxcS,uuid:15e64366-ce9e-475a-8ab9-0afec9dc6e9d,2304211647,uuid:15e64366-ce9e-475a-8ab9-0afec9dc6e9d,28,Q1-273,RIA1,Q1-093,RIA1,Q1-426,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Hai Duong,1_RRD,1,2.00E+05,FALSE,FALSE,20.80161652,106.2850234
37,30,4/24/2023 22:18,4/22/2023 11:14,4/22/2023 18:29,22-Apr-23,668fa2006a285b94,1,Gia Loc,Thong kenh,22042023,Giam doc,option_3,,10:17:54,1,1,1,PC parm thai lan,option_5,,Ko ro,,,,Ko ro,Ko ro,option_1,option_1,option_2,,option_99,140,option_3,option_1,90,1400,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,10:23:09,1,1,PC parm thai lan,9,9.8,5.7,19,3 cơ sở ngẫu nhiên (1:1:1,3,,Q1-018,,Q1-041,,Q1-027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10:27:24,5,4,,,vPLgT4JJBcbPzUGUssuxcS,uuid:e0b8261b-49ee-45e2-9127-c9f3c8b83d09,2304211647,uuid:e0b8261b-49ee-45e2-9127-c9f3c8b83d09,66,Q1-018,RIA1,Q1-041,RIA1,Q1-027,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Hai Duong,1_RRD,1,1400000,FALSE,FALSE,20.80024483,106.2802671
38,30,4/24/2023 22:18,4/22/2023 9:06,4/22/2023 18:31,22-Apr-23,668fa2006a285b94,1,Thanh mien,Doan ket,22042023,Giam doc,option_3,,07:23:29,3,3,1,Duong nghiep,option_5,,Trung quoc,,,,Ko ro,Ko ro,option_1,option_1,option_2,,option_2,5,option_2,option_1,40,1000,0.5,2,Hong sinh bao loc,option_5,,Trung quoc,,,,Ko ro,Ko ro,option_1,option_1,option_2,,option_2,6,option_2,option_1,40,3000,12,3,Super thai,option_5,,Thai lan,,,,Ko ro,Ko ro,option_1,option_1,option_2,,option_99,2.4,option_2,option_1,40,3000,12,option_2,,option_1,option_1 option_2 option_4 option_5,1,1,0,1,1,0,0,,07:42:35,3,1,Duong nghiep,0,-21.3,198.6,,3 cơ sở ngẫu nhiên (1:1:1,3,,,,,,,2,Hong sinh bao loc,1,20.7673424,106.1830549,-21.3,13.9,8,1 cơ sở,3,,Q1-124,,Q1-014,,Q1-403,3,Super thai,1,20.76804,106.1837517,-22.4,3.9,25,1 cơ sở,3,,Q1-483,,Q1-316,,Q1-136,9,09:28:44,19,106,,Giong duong nghiep co so hien ko nuoi,vPLgT4JJBcbPzUGUssuxcS,uuid:a59e424c-0239-4670-b720-d9503719ed7c,2304211647,uuid:a59e424c-0239-4670-b720-d9503719ed7c,21,,,,,,,Q1-124,RIA1,Q1-014,RIA1,Q1-403,RIA1,Q1-483,RIA1,Q1-316,RIA1,Q1-136,RIA1,6,FALSE,TRUE,TRUE,,RIA1,RIA1,GIFT-derived,GIFT-derived,Tinh Hai Duong,1_RRD,1,5000,FALSE,FALSE,20.80367487,106.1673201
39,31,12/15/2023 15:18,12/15/2023 15:06,12/15/2023 15:18,15-Dec-23,3.58E+14,1,313,11668,151201,Chủ cơ sở,option_4,,15:11:24,1,1,1,Đơn tính,option_5,,Trại cá Trung Quốc,option_2,,,,,option_1,option_2,option_2,,option_2,50,option_3,option_1,50,1000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,15:12:29,1,1,Đơn tính,2,-19.7,8,4,2 cơ sở (2:1),3,Q5-1408,,Q5-1069,,Q5-1326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15:14:37,1,2,https://vhlss23test.surveycto.com/view/submission-attachment/1702628105242.jpg?uuid=uuid%3Ac8b32d8c-23a7-4867-bd04-5223b40f29d9,Cơ sở nhập cá giống từ Trung Quốc,vPLgT4JJBcbPzUGUssuxcS,uuid:c8b32d8c-23a7-4867-bd04-5223b40f29d9,2306161529,uuid:c8b32d8c-23a7-4867-bd04-5223b40f29d9,84,Q5-1408,RIA1,Q5-1069,RIA1,Q5-1326,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Thanh pho Hai Phong,1_RRD,1,5.00E+05,FALSE,FALSE,20.7908386,106.6134943
40,33,3/31/2023 16:00,3/30/2023 11:39,3/30/2023 12:08,30-Mar-23,C3CD8978-2DF3-45CC-8CED-A307888A4339,1,,,1,Giám đốc htx,option_2,,11:42:00,1,1,1,Rô Na uy ( genloma),option_3,,Công ty thhh gennomar gennetics viet nam,,,Tây ninh,,,option_1,,option_2,,option_2,6000,,5600,0,3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,,,,,,,,,,,11:52:00,1,1,Rô Na uy ( genloma),20,17.3,350.7,option_1,chọn 3 ao ngẫu nhiên và bắt mỗi ao 1 con,3,Q1-254,,Q1-296,,Q1-252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12:08:00,9,16,https://vhlss23test.surveycto.com/view/submission-attachment/1680151263425.jpg?uuid=uuid%3A93d43de2-d0f4-47fd-9e94-b1600098d827,,vPLgT4JJBcbPzUGUssuxcS,uuid:93d43de2-d0f4-47fd-9e94-b1600098d827,2303292135,uuid:93d43de2-d0f4-47fd-9e94-b1600098d827,1,Q1-254,GENOGain,Q1-296,GENOGain,Q1-252,RIA1,,,,,,,,,,,,,3,FALSE,FALSE,FALSE,None,,,GIFT-derived,Other,Tinh Hung Yen,1_RRD,1,6000,FALSE,FALSE,20.72188865,106.1198974
41,33,3/31/2023 16:00,3/30/2023 14:04,3/31/2023 14:52,30-Mar-23,C3CD8978-2DF3-45CC-8CED-A307888A4339,1,,,1,Giám đốc HtX,option_2,,12:07:00,1,1,1,Bảo Lộc,option_3,,Công ty Tnhh giong Hai Ha,,,31,,,option_1,,option_2,,option_99,40000,,40000,0,5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,,,,,,,,,,,12:13:00,1,1,Bảo Lộc,1,29.1,48,option_4,bắt cá tại 3 điểm khác nhau trong ao,3,Q1-297,,Q1-378,,Q1-370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12:52:00,5,38,https://vhlss23test.surveycto.com/view/submission-attachment/1680160005072.jpg?uuid=uuid%3Aa40b7261-8fc3-491f-8823-717118d60efa,,vPLgT4JJBcbPzUGUssuxcS,uuid:a40b7261-8fc3-491f-8823-717118d60efa,2303292135,uuid:a40b7261-8fc3-491f-8823-717118d60efa,36,Q1-297,RIA1,Q1-378,RIA1,Q1-370,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Hung Yen,1_RRD,1,40000,FALSE,FALSE,20.76740559,106.2023055
42,40,4/24/2023 22:18,4/23/2023 16:01,4/23/2023 19:56,23-Apr-23,668fa2006a285b94,1,Quynh luu,Quynh van,23042023,Quan ly,option_4,,16:05:15,2,2,1,Duong nghiep,option_5,,Ko ro,,,,Ko ro,Ko ro,option_1,option_1,option_2,,option_99,50,option_3,option_1,20,1200,4,2,Bao loc,option_5,,Ko ro,,,,Ko ro,Ko ro,option_1,option_1,option_2,,option_99,50,option_3,option_1,20,1200,4,,,,,,,,,,,,,,,,,,,,,,option_2,,option_1,option_2 option_7,0,1,0,0,0,0,1,"Mo hinh, vi sinh",16:14:38,2,1,Duong nghiep,7,-19,4.3,3,3 cơ sở ngẫu nhiên (1:1:1,3,,,,,,,2,Bao loc,7,19.1913599,105.6802924,-19,3.3,25,3 cơ sở ngẫu nhiên (1:1:1,3,,Q1-127,,Q1-367,,Q1-058,,,,,,,,,,,,,,,,,6,16:49:31,9,34,,Giong duong nghiep hien nay ko nuoi vi moi dot chi nuoi 1 dong,vPLgT4JJBcbPzUGUssuxcS,uuid:2cd1854b-45cb-4aa4-80d7-19777474b451,2304211647,uuid:2cd1854b-45cb-4aa4-80d7-19777474b451,69,,,,,,,,,Q1-367,RIA1,Q1-058,RIA1,,,,,,,2,FALSE,TRUE,FALSE,,None,,GIFT-derived,Other,Tinh Nghe An,3_NCCCA,1,5.00E+05,FALSE,FALSE,19.19200611,105.6741388
43,40,10/05/2023 07:14,10/04/2023 16:18,10/04/2023 16:39,04-Oct-23,056cac11318aed22,3,427,17683,41003,Chủ trại cá,option_4,,16:20:05,1,1,1,Bảo lộc,option_3,,Trại ở Hải Phòng,option_2,,31,,,option_1,option_1,option_1,option_3,option_2,3,option_3,option_1,100,1500,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,16:23:32,1,1,Bảo lộc,1,1.9,4.8,4,1 cơ sở,3,Q6-1603,,Q6-1754,,Q6-1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16:38:20,3,14,https://vhlss23test.surveycto.com/view/submission-attachment/1696412312169.jpg?uuid=uuid%3A25cfc5a6-32fc-424e-bc36-e74b48b01914,Tốt,vPLgT4JJBcbPzUGUssuxcS,uuid:25cfc5a6-32fc-424e-bc36-e74b48b01914,2306161529,uuid:25cfc5a6-32fc-424e-bc36-e74b48b01914,82,Q6-1603,RIA1,Q6-1754,RIA1,Q6-1577,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Nghe An,3_NCCCA,1,30000,FALSE,FALSE,18.87178787,105.3392898
44,40,4/25/2023 21:24,4/25/2023 10:33,4/25/2023 15:01,25-Apr-23,668fa2006a285b94,1,Anh son,Long Sơn,25042023,Giam doc,option_4,,10:35:53,1,1,1,Thai Lan,option_4,,Htx hai phong,option_1,387166869,31,Tien lang,Ko ro,option_1,option_1,option_2,,option_99,2,option_3,option_1,10,2000,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_99,,,,,,,,,,10:59:06,1,1,Thai Lan,4,32.6,4.6,7,3 cơ sở ngẫu nhiên (1:1:1,3,,Q1-293,,Q1-108,,Q1-137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11:01:30,23,2,https://vhlss23test.surveycto.com/view/submission-attachment/1682395283139.jpg?uuid=uuid%3A9669b5a3-96ae-4809-899c-d73d021dd49c,,vPLgT4JJBcbPzUGUssuxcS,uuid:9669b5a3-96ae-4809-899c-d73d021dd49c,2304241104,uuid:9669b5a3-96ae-4809-899c-d73d021dd49c,73,Q1-293,RIA1,Q1-108,RIA1,Q1-137,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Nghe An,3_NCCCA,1,20000,FALSE,FALSE,18.92221925,105.1443724
