"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","Province_name","ws_method","ws_area_unit","ws_rate","seed_rate_duration","pre_area_unit","pre_rate","certified","rice_name","KYDIEUTRA","Region","ws_rate_ha","pre_rate_ha"
"3689",89,891,30586,31,12,30586031012,"Tinh An Giang",1,NA,40,5,"Cong Tam Cat (1300m2)",50,2,"504 lúa xanh",1,"6_MRD",44.4444444444444,NA
"3690",89,891,30586,31,13,30586031013,"Tinh An Giang",1,NA,40,10,"Cong Tam Cat (1300m2)",45,3,"504 lá xanh",1,"6_MRD",66.6666666666667,NA
"3691",89,891,30586,31,15,30586031015,"Tinh An Giang",3,"Sao Nam Bo/Cong Nha nuoc (1000m2)",20,4,"m2",40,2,"504 lúa xanh",1,"6_MRD",200,NA
"3692",89,893,30646,4,14,30646004014,"Tinh An Giang",1,NA,250,99,NA,NA,1,"50404",1,"6_MRD",83.3333333333333,NA
"3693",89,894,30718,3,2,30718003002,"Tinh An Giang",3,"Cong Tam Cat (1300m2)",20,6,"Cong Tam Cat (1300m2)",20,1,"504",1,"6_MRD",153.846153846154,153.846153846154
"3694",89,894,30718,3,4,30718003004,"Tinh An Giang",3,"Cong Tam Cat (1300m2)",25,99,NA,NA,1,"380",1,"6_MRD",192.307692307692,NA
"3695",89,894,30718,3,7,30718003007,"Tinh An Giang",2,"Sao Nam Bo/Cong Nha nuoc (1000m2)",25,8,"Sao Nam Bo/Cong Nha nuoc (1000m2)",20,2,"0M 504",1,"6_MRD",250,200
"3696",89,894,30718,3,9,30718003009,"Tinh An Giang",2,"Sao Nam Bo/Cong Nha nuoc (1000m2)",20,10,"Sao Nam Bo/Cong Nha nuoc (1000m2)",18,2,"OM 504",1,"6_MRD",200,180
"3697",89,894,30718,3,13,30718003013,"Tinh An Giang",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",20,20,NA,NA,2,"OM 504",1,"6_MRD",200,NA
"3698",89,894,30718,3,14,30718003014,"Tinh An Giang",3,"Cong Tam Cat (1300m2)",21,99,NA,NA,1,"380",1,"6_MRD",161.538461538462,NA
"3699",91,899,30739,24,5,30739024005,"Tinh Kien Giang",2,"Sao Nam Bo/Cong Nha nuoc (1000m2)",25,15,"Sao Nam Bo/Cong Nha nuoc (1000m2)",25,2,"giống lúa jesmin",1,"6_MRD",250,250
"3700",91,899,30742,10,8,30742010008,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",15,3,"Cong Tam Cat (1300m2)",15,1,"Đài thơm 8",1,"6_MRD",115.384615384615,115.384615384615
"3701",91,902,30808,3,6,30808003006,"Tinh Kien Giang",2,"Sao Nam Bo/Cong Nha nuoc (1000m2)",25,99,NA,NA,2,"lúa gạo thơm",1,"6_MRD",250,NA
"3702",91,902,30808,3,8,30808003008,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",20,2,"Cong Tam Cat (1300m2)",20,1,"504",1,"6_MRD",153.846153846154,153.846153846154
"3703",91,903,30826,2,2,30826002002,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",20,2,"Cong Tam Cat (1300m2)",20,1,"Đài thơm 8",1,"6_MRD",153.846153846154,153.846153846154
"3704",91,903,30826,2,4,30826002004,"Tinh Kien Giang",2,"Sao Nam Bo/Cong Nha nuoc (1000m2)",25,99,NA,NA,1,"lúa gạo thơm",1,"6_MRD",250,NA
"3705",91,903,30826,2,6,30826002006,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",20,4,"m2",20,2,"OM18 54 thương",1,"6_MRD",153.846153846154,153.846153846154
"3706",91,903,30826,2,7,30826002007,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",20,3,"Cong Tam Cat (1300m2)",20,1,"Đài thơm 8",1,"6_MRD",153.846153846154,153.846153846154
"3707",91,903,30826,2,8,30826002008,"Tinh Kien Giang",5,"Sao Nam Bo/Cong Nha nuoc (1000m2)",20,10,"Sao Nam Bo/Cong Nha nuoc (1000m2)",20,1,"OM 18",1,"6_MRD",200,200
"3708",91,903,30826,2,9,30826002009,"Tinh Kien Giang",2,"Sao Nam Bo/Cong Nha nuoc (1000m2)",25,99,NA,NA,1,"lúa gạo thơm",1,"6_MRD",250,NA
"3709",91,903,30826,2,12,30826002012,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",20,3,"Cong Tam Cat (1300m2)",20,1,"Đài thơm 8",1,"6_MRD",153.846153846154,153.846153846154
"3710",91,903,30826,2,15,30826002015,"Tinh Kien Giang",1,NA,120,3,"Cong Tam Cat (1300m2)",200,1,"0m18",1,"6_MRD",24.3654822335025,NA
"3711",91,903,30826,2,18,30826002018,"Tinh Kien Giang",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",25,99,NA,NA,1,"om18",1,"6_MRD",250,NA
"3712",91,903,30826,2,20,30826002020,"Tinh Kien Giang",5,"Sao Nam Bo/Cong Nha nuoc (1000m2)",20,5,"Sao Nam Bo/Cong Nha nuoc (1000m2)",20,1,"đài thơm",1,"6_MRD",200,200
"3713",91,905,30889,6,5,30889006005,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",15,2,"Cong Tam Cat (1300m2)",15,1,"Đài Thơm 8",1,"6_MRD",115.384615384615,115.384615384615
"3714",91,905,30889,6,22,30889006022,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",12,6,"m2",12,1,"đai thơm",1,"6_MRD",92.3076923076923,92.3076923076923
"3715",91,905,30889,6,23,30889006023,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",11,7,"Cong Tam Cat (1300m2)",12,1,"Đài thơm 8",1,"6_MRD",84.6153846153846,92.3076923076923
"3716",91,905,30895,30,3,30895030003,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",20,10,"Cong Tam Cat (1300m2)",16,3,"Đài thơm",1,"6_MRD",153.846153846154,123.076923076923
"3717",91,905,30895,30,5,30895030005,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",15,99,NA,NA,3,"Đài thơm 8",1,"6_MRD",115.384615384615,NA
"3718",91,905,30895,30,8,30895030008,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",20,20,NA,NA,1,"đài thơm 8",1,"6_MRD",153.846153846154,NA
"3719",91,905,30895,30,9,30895030009,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",15,5,"Cong Tam Cat (1300m2)",20,3,"đài thơm 8",1,"6_MRD",115.384615384615,153.846153846154
"3720",91,905,30895,30,11,30895030011,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",20,10,"Cong Tam Cat (1300m2)",16,3,"Đài thơm",1,"6_MRD",153.846153846154,123.076923076923
"3721",91,905,30895,30,13,30895030013,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",15,99,NA,NA,1,"Đài thơm 8",1,"6_MRD",115.384615384615,NA
"3722",91,905,30895,30,15,30895030015,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",20,99,NA,NA,3,"OM",1,"6_MRD",153.846153846154,NA
"3723",91,905,30901,12,5,30901012005,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",20,1,"Cong Tam Cat (1300m2)",20,1,"Đài thơm 8",1,"6_MRD",153.846153846154,153.846153846154
"3724",91,905,30901,12,8,30901012008,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",20,5,"Cong Tam Cat (1300m2)",20,1,"0m5451",1,"6_MRD",153.846153846154,153.846153846154
"3725",91,906,30946,2,2,30946002002,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",20,10,"Cong Tam Cat (1300m2)",18,3,"ST25",1,"6_MRD",153.846153846154,138.461538461538
"3726",91,906,30946,2,5,30946002005,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",17,4,"Cong Tam Cat (1300m2)",22,1,"giống ST20",1,"6_MRD",130.769230769231,169.230769230769
"3727",91,906,30946,2,6,30946002006,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",20,10,"Cong Tam Cat (1300m2)",18,3,"OM",1,"6_MRD",153.846153846154,138.461538461538
"3728",91,906,30946,2,7,30946002007,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",20,99,NA,NA,1,"zemmin85",1,"6_MRD",153.846153846154,NA
"3730",91,906,30946,2,9,30946002009,"Tinh Kien Giang",99,"Cong Tam Cat (1300m2)",15,3,"Cong Tam Cat (1300m2)",20,1,"Đài thơm",1,"6_MRD",115.384615384615,153.846153846154
"3731",91,906,30946,2,10,30946002010,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",20,10,"Cong Tam Cat (1300m2)",18,3,"OM",1,"6_MRD",153.846153846154,138.461538461538
"3732",91,906,30946,2,11,30946002011,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",15,99,NA,NA,1,"Đài thơm 8",1,"6_MRD",115.384615384615,NA
"3733",91,906,30946,2,14,30946002014,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",20,10,"Cong Tam Cat (1300m2)",16,3,"Đài thơm",1,"6_MRD",153.846153846154,123.076923076923
"3734",91,906,30946,2,19,30946002019,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",17,2,"Cong Tam Cat (1300m2)",22,3,"Đài thơm 8",1,"6_MRD",130.769230769231,169.230769230769
"3735",91,909,31024,31,1,31024031001,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",12,1,"Cong Tam Cat (1300m2)",12,1,"ST25",1,"6_MRD",92.3076923076923,92.3076923076923
"3736",91,909,31024,31,2,31024031002,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",10,1,"m2",10,1,"ST25",1,"6_MRD",76.9230769230769,76.9230769230769
"3737",91,909,31024,31,3,31024031003,"Tinh Kien Giang",5,"Sao Nam Bo/Cong Nha nuoc (1000m2)",15,5,"Sao Nam Bo/Cong Nha nuoc (1000m2)",15,1,"Một bụi đỏ",1,"6_MRD",150,150
"3738",91,909,31024,31,4,31024031004,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",16,99,NA,NA,1,"lúa đài thơm",1,"6_MRD",123.076923076923,NA
"3739",91,909,31024,31,5,31024031005,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",20,10,"Cong Tam Cat (1300m2)",20,1,"ST25",1,"6_MRD",153.846153846154,153.846153846154
"3740",91,909,31024,31,7,31024031007,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",15,3,"m2",15,1,"ST25",1,"6_MRD",115.384615384615,115.384615384615
"3741",91,909,31024,31,9,31024031009,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",15,99,NA,NA,1,"FT25",1,"6_MRD",115.384615384615,NA
"3742",91,909,31024,31,12,31024031012,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",20,2,"m2",20,2,"môt bui đo",1,"6_MRD",153.846153846154,153.846153846154
"3743",91,909,31024,31,15,31024031015,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",15,5,"Cong Tam Cat (1300m2)",15,1,"ST25",1,"6_MRD",115.384615384615,115.384615384615
"3744",91,909,31024,31,16,31024031016,"Tinh Kien Giang",5,"Cong Tam Cat (1300m2)",20,3,"Cong Tam Cat (1300m2)",20,1,"ST 24",1,"6_MRD",153.846153846154,153.846153846154
"3745",91,913,31054,13,2,31054013002,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",18,99,NA,NA,1,"R20",1,"6_MRD",138.461538461538,NA
"3746",91,913,31054,13,3,31054013003,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",20,8,"Cong Tam Cat (1300m2)",15,3,"OM 4218",1,"6_MRD",153.846153846154,115.384615384615
"3747",91,913,31054,13,5,31054013005,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",20,99,NA,NA,1,"Đài thơm 8",1,"6_MRD",153.846153846154,NA
"3748",91,913,31054,13,8,31054013008,"Tinh Kien Giang",2,"Cong Tam Cat (1300m2)",18,4,"Cong Tam Cat (1300m2)",22,1,"OM6976",1,"6_MRD",138.461538461538,169.230769230769
"3749",91,913,31054,13,11,31054013011,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",22,10,"Cong Tam Cat (1300m2)",18,2,"Đài thơm",1,"6_MRD",169.230769230769,138.461538461538
"3750",91,913,31054,13,12,31054013012,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",15,5,"Cong Tam Cat (1300m2)",20,1,"R20",1,"6_MRD",115.384615384615,153.846153846154
"3751",91,913,31054,13,14,31054013014,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",20,99,NA,NA,1,"R20",1,"6_MRD",153.846153846154,NA
"3752",91,913,31054,13,15,31054013015,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",20,5,"Cong Tam Cat (1300m2)",18,3,"Đài thơm",1,"6_MRD",153.846153846154,138.461538461538
"3753",91,913,31054,13,18,31054013018,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",20,99,NA,NA,1,"R20",1,"6_MRD",153.846153846154,NA
"3754",91,910,31075,2,1,31075002001,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",15,10,"Cong Tam Cat (1300m2)",20,2,"0",1,"6_MRD",115.384615384615,153.846153846154
"3755",91,910,31075,2,2,31075002002,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",15,5,"Cong Tam Cat (1300m2)",22,1,"Đài thơm",1,"6_MRD",115.384615384615,169.230769230769
"3756",91,910,31075,2,3,31075002003,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",20,5,"Cong Tam Cat (1300m2)",22,1,"ST24",1,"6_MRD",153.846153846154,169.230769230769
"3757",91,910,31075,2,4,31075002004,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",20,8,"Cong Tam Cat (1300m2)",18,3,"st25",1,"6_MRD",153.846153846154,138.461538461538
"3759",91,910,31075,2,9,31075002009,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",15,99,NA,NA,1,"ST24",1,"6_MRD",115.384615384615,NA
"3760",91,910,31075,2,11,31075002011,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",15,5,"Cong Tam Cat (1300m2)",18,1,"ST24",1,"6_MRD",115.384615384615,138.461538461538
"3761",91,910,31075,2,12,31075002012,"Tinh Kien Giang",1,"Cong Tam Cat (1300m2)",20,8,"Cong Tam Cat (1300m2)",18,3,"st25",1,"6_MRD",153.846153846154,138.461538461538
"3762",91,910,31075,2,14,31075002014,"Tinh Kien Giang",3,"Cong Tam Cat (1300m2)",20,5,"Cong Tam Cat (1300m2)",22,1,"Đài thơm 8",1,"6_MRD",153.846153846154,169.230769230769
"3763",92,924,31252,3,1,31252003001,"Thanh pho Can Tho",3,"Sao Nam Bo/Cong Nha nuoc (1000m2)",19,5,"Sao Nam Bo/Cong Nha nuoc (1000m2)",22,3,"Đài Thơm 8",1,"6_MRD",190,220
"3764",92,924,31252,3,2,31252003002,"Thanh pho Can Tho",3,"Cong Tam Cat (1300m2)",20,5,"Cong Tam Cat (1300m2)",25,1,"Đài Thơm 8",1,"6_MRD",153.846153846154,192.307692307692
"3765",92,924,31252,3,4,31252003004,"Thanh pho Can Tho",3,"Cong Tam Cat (1300m2)",25,10,"Cong Tam Cat (1300m2)",30,1,"Đài Thơm 8",1,"6_MRD",192.307692307692,230.769230769231
"3766",92,927,31291,2,3,31291002003,"Thanh pho Can Tho",1,"Cong Tam Cat (1300m2)",25,6,"Cong Tam Cat (1300m2)",30,1,"Đài Thơm 8",1,"6_MRD",192.307692307692,230.769230769231
"3767",92,927,31291,2,4,31291002004,"Thanh pho Can Tho",3,"Cong Tam Cat (1300m2)",30,99,NA,NA,1,"OM5451",1,"6_MRD",230.769230769231,NA
"3768",92,927,31291,2,6,31291002006,"Thanh pho Can Tho",1,"Cong Tam Cat (1300m2)",25,5,"Cong Tam Cat (1300m2)",30,1,"Đài Thơm 8",1,"6_MRD",192.307692307692,230.769230769231
"3769",92,927,31291,2,12,31291002012,"Thanh pho Can Tho",1,"Cong Tam Cat (1300m2)",25,99,NA,NA,1,"OM5451",1,"6_MRD",192.307692307692,NA
"3770",92,927,31291,2,13,31291002013,"Thanh pho Can Tho",3,"Cong Tam Cat (1300m2)",22,15,"Cong Tam Cat (1300m2)",18,2,"ÔM380",1,"6_MRD",169.230769230769,138.461538461538
"3771",93,930,31338,10,6,31338010006,"Tinh Hau Giang",3,"Cong Tam Cat (1300m2)",10,99,NA,NA,1,"RVT",1,"6_MRD",76.9230769230769,NA
"3772",93,932,31346,2,4,31346002004,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",18,99,NA,NA,1,"OM5451",1,"6_MRD",138.461538461538,NA
"3773",93,932,31346,2,9,31346002009,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",18,9,"Cong Tam Cat (1300m2)",18,2,"OM5451",1,"6_MRD",138.461538461538,138.461538461538
"3774",93,932,31346,2,10,31346002010,"Tinh Hau Giang",3,"Cong Tam Cat (1300m2)",16,2,"Cong Tam Cat (1300m2)",18,1,"Đài thơm 8",1,"6_MRD",123.076923076923,138.461538461538
"3775",93,932,31346,2,11,31346002011,"Tinh Hau Giang",1,NA,200,3,"Cong Tam Cat (1300m2)",200,1,"om50504",1,"6_MRD",192.307692307692,NA
"3776",93,932,31346,2,14,31346002014,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",18,99,NA,NA,2,"Om5451",1,"6_MRD",138.461538461538,NA
"3777",93,934,31423,6,17,31423006017,"Tinh Hau Giang",2,"Sao Nam Bo/Cong Nha nuoc (1000m2)",7,99,NA,NA,99,"om18",1,"6_MRD",70,NA
"3778",93,934,31423,6,18,31423006018,"Tinh Hau Giang",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",15,99,NA,NA,1,"Đài Thơm 18",1,"6_MRD",150,NA
"3779",93,934,31423,6,21,31423006021,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",20,2,"Cong Tam Cat (1300m2)",25,3,"Đài thơm 08",1,"6_MRD",153.846153846154,192.307692307692
"3780",93,934,31423,6,22,31423006022,"Tinh Hau Giang",2,"Sao Nam Bo/Cong Nha nuoc (1000m2)",8,5,"Sao Nam Bo/Cong Nha nuoc (1000m2)",10,99,"đài thơm 8",1,"6_MRD",80,100
"3781",93,934,31423,6,24,31423006024,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",19,4,"Cong Tam Cat (1300m2)",25,1,"Đài thơm",1,"6_MRD",146.153846153846,192.307692307692
"3782",93,934,31423,6,25,31423006025,"Tinh Hau Giang",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",15,99,NA,NA,2,"Đài Thơm",1,"6_MRD",150,NA
"3783",93,934,31423,6,27,31423006027,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",20,5,"Cong Tam Cat (1300m2)",25,3,"Đài thơm 08",1,"6_MRD",153.846153846154,192.307692307692
"3784",93,934,31438,25,5,31438025005,"Tinh Hau Giang",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",18,2,"Sao Nam Bo/Cong Nha nuoc (1000m2)",17,2,"OM18",1,"6_MRD",180,170
"3785",93,937,31478,1,1,31478001001,"Tinh Hau Giang",3,"Cong Tam Cat (1300m2)",10,1,"Cong Tam Cat (1300m2)",15,1,"đài thơm",1,"6_MRD",76.9230769230769,115.384615384615
"3786",93,937,31478,1,2,31478001002,"Tinh Hau Giang",3,"Cong Tam Cat (1300m2)",12,99,NA,NA,3,"đài thơm 8",1,"6_MRD",92.3076923076923,NA
"3787",93,937,31478,1,3,31478001003,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",25,99,NA,NA,1,"đài thơm 8",1,"6_MRD",192.307692307692,NA
"3788",93,937,31478,1,5,31478001005,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",20,5,"Cong Tam Cat (1300m2)",30,1,"st24",1,"6_MRD",153.846153846154,230.769230769231
"3789",93,937,31478,1,13,31478001013,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",25,99,NA,NA,1,"đài thơm 8",1,"6_MRD",192.307692307692,NA
"3790",93,937,31478,1,14,31478001014,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",15,3,"Cong Tam Cat (1300m2)",20,2,"Đài thơm 8",1,"6_MRD",115.384615384615,153.846153846154
"3791",93,937,31478,1,15,31478001015,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",25,3,"Cong Tam Cat (1300m2)",25,1,"đài thơm 8",1,"6_MRD",192.307692307692,192.307692307692
"3792",93,937,31480,6,6,31480006006,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",22,99,NA,NA,1,"RVT",1,"6_MRD",169.230769230769,NA
"3793",93,937,31480,6,8,31480006008,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",15,5,"Cong Tam Cat (1300m2)",15,2,"đài thơm 8",1,"6_MRD",115.384615384615,115.384615384615
"3794",93,937,31480,6,9,31480006009,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",20,10,"Cong Tam Cat (1300m2)",30,1,"5451",1,"6_MRD",153.846153846154,230.769230769231
"3795",93,937,31480,6,11,31480006011,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",22,99,NA,NA,1,"dài thơm 8",1,"6_MRD",169.230769230769,NA
"3796",93,937,31480,6,14,31480006014,"Tinh Hau Giang",1,"Cong Tam Cat (1300m2)",18,2,"Cong Tam Cat (1300m2)",20,2,"OM18",1,"6_MRD",138.461538461538,153.846153846154
"3797",94,941,31498,4,4,31498004004,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",20,3,"Cong Tam Cat (1300m2)",20,3,"OM",1,"6_MRD",153.846153846154,153.846153846154
"3798",94,941,31498,4,8,31498004008,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",25,2,"Cong Tam Cat (1300m2)",25,3,"OM",1,"6_MRD",192.307692307692,192.307692307692
"3799",94,941,31498,4,9,31498004009,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",22,1,"Cong Tam Cat (1300m2)",22,3,"lài thơm",1,"6_MRD",169.230769230769,169.230769230769
"3800",94,941,31498,4,10,31498004010,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",20,6,"Cong Tam Cat (1300m2)",20,1,"OM18",1,"6_MRD",153.846153846154,153.846153846154
"3801",94,941,31498,4,13,31498004013,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",22,1,"Cong Tam Cat (1300m2)",22,2,"lài thơm",1,"6_MRD",169.230769230769,169.230769230769
"3802",94,941,31498,4,14,31498004014,"Tinh Soc Trang",1,"Sao Nam Bo/Cong Nha nuoc (1000m2)",15,2,"Sao Nam Bo/Cong Nha nuoc (1000m2)",20,1,"OM18",1,"6_MRD",150,200
"3803",94,941,31498,4,15,31498004015,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",25,3,"Cong Tam Cat (1300m2)",25,3,"OM",1,"6_MRD",192.307692307692,192.307692307692
"3804",94,941,31498,4,17,31498004017,"Tinh Soc Trang",2,"Cong Tam Cat (1300m2)",25,10,"Cong Tam Cat (1300m2)",20,3,"Đài thơm 8",1,"6_MRD",192.307692307692,153.846153846154
"3805",94,942,31585,16,1,31585016001,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",20,1,"Cong Tam Cat (1300m2)",20,1,"Đài thơm 8",1,"6_MRD",153.846153846154,153.846153846154
"3806",94,942,31585,16,2,31585016002,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",20,4,"Cong Tam Cat (1300m2)",20,1,"Đài thơm",1,"6_MRD",153.846153846154,153.846153846154
"3807",94,942,31585,16,3,31585016003,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",17,1,"Cong Tam Cat (1300m2)",17,1,"Om 5451",1,"6_MRD",130.769230769231,130.769230769231
"3808",94,942,31585,16,4,31585016004,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",18,3,"Cong Tam Cat (1300m2)",18,2,"Đài Thơm",1,"6_MRD",138.461538461538,138.461538461538
"3809",94,942,31585,16,6,31585016006,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",16,4,"Cong Tam Cat (1300m2)",16,1,"Đài thơm",1,"6_MRD",123.076923076923,123.076923076923
"3810",94,942,31585,16,8,31585016008,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",16,4,"Cong Tam Cat (1300m2)",16,1,"Đài thơm",1,"6_MRD",123.076923076923,123.076923076923
"3811",94,942,31585,16,9,31585016009,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",20,1,"Cong Tam Cat (1300m2)",20,1,"đài thơm 8",1,"6_MRD",153.846153846154,153.846153846154
"3812",94,942,31585,16,10,31585016010,"Tinh Soc Trang",1,NA,40,4,"Cong Tam Cat (1300m2)",40,1,"đài thơm",1,"6_MRD",23.6686390532544,NA
"3813",94,942,31585,16,11,31585016011,"Tinh Soc Trang",1,NA,150,1,"Cong Tam Cat (1300m2)",150,1,"đài thơm 8",1,"6_MRD",115.384615384615,NA
"3814",94,942,31585,16,12,31585016012,"Tinh Soc Trang",2,"Cong Tam Cat (1300m2)",12,3,"Cong Tam Cat (1300m2)",12,1,"Đài thơm",1,"6_MRD",92.3076923076923,92.3076923076923
"3815",94,942,31585,16,15,31585016015,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",15,1,"Cong Tam Cat (1300m2)",15,1,"đài thơm 8",1,"6_MRD",115.384615384615,115.384615384615
"3816",94,944,31603,19,7,31603019007,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",16,6,"Cong Tam Cat (1300m2)",18,1,"OM5451",1,"6_MRD",123.076923076923,138.461538461538
"3817",94,944,31603,19,8,31603019008,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",16,99,NA,NA,1,"IR50404",1,"6_MRD",123.076923076923,NA
"3818",94,944,31603,19,11,31603019011,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",18,99,NA,NA,1,"OM5451",1,"6_MRD",138.461538461538,NA
"3819",94,944,31603,19,13,31603019013,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",18,99,NA,NA,1,"OM5451",1,"6_MRD",138.461538461538,NA
"3820",94,944,31603,19,15,31603019015,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",18,99,NA,NA,1,"OM 5451",1,"6_MRD",138.461538461538,NA
"3821",94,946,31663,7,5,31663007005,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",20,99,NA,NA,2,"đài thơm 8",1,"6_MRD",153.846153846154,NA
"3822",94,946,31663,7,6,31663007006,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",23,10,"Cong Tam Cat (1300m2)",28,1,"on18",1,"6_MRD",176.923076923077,215.384615384615
"3823",94,946,31663,7,8,31663007008,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",23,8,"Cong Tam Cat (1300m2)",28,1,"4900",1,"6_MRD",176.923076923077,215.384615384615
"3824",94,946,31663,7,9,31663007009,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",20,99,NA,NA,2,"đài thơm 8",1,"6_MRD",153.846153846154,NA
"3825",94,946,31663,7,10,31663007010,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",21,7,"Cong Tam Cat (1300m2)",25,1,"om18",1,"6_MRD",161.538461538462,192.307692307692
"3826",94,946,31663,7,11,31663007011,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",19,99,NA,NA,2,"đài thơm 8",1,"6_MRD",146.153846153846,NA
"3827",94,946,31663,7,13,31663007013,"Tinh Soc Trang",1,"Cong Tam Cat (1300m2)",18,99,NA,NA,2,"đài thơm 8",1,"6_MRD",138.461538461538,NA
