"","sowing_day","sowing_month","sowing_year","lunar_day","lunar_month","lunar_year","final_result","gre_day","gre_month","gre_year"
"234",11,10,2022,"Ngày 11","Tháng 10","Năm 2022","Thứ Sáu, ngày 04/11/2022","4","11","2022"
"235",20,11,2022,"Ngày 20","Tháng 11","Năm 2022","Thứ Ba, ngày 13/12/2022","13","12","2022"
"236",21,11,2022,"Ngày 21","Tháng 11","Năm 2022","Thứ Tư, ngày 14/12/2022","14","12","2022"
"237",18,11,2022,"Ngày 18","Tháng 11","Năm 2022","Chủ Nhật, ngày 11/12/2022","11","12","2022"
"238",26,12,2021,"Ngày 26","Tháng 12","Năm 2021","Thứ Sáu, ngày 28/01/2022","28","1","2022"
"239",20,10,2022,"Ngày 20","Tháng 10","Năm 2022","Chủ Nhật, ngày 13/11/2022","13","11","2022"
"240",10,10,2021,"Ngày 10","Tháng 10","Năm 2021","Chủ Nhật, ngày 14/11/2021","14","11","2021"
"241",21,12,2021,"Ngày 21","Tháng 12","Năm 2021","Chủ Nhật, ngày 23/01/2022","23","1","2022"
"242",15,3,2022,"Ngày 15","Tháng 3","Năm 2022","Thứ Sáu, ngày 15/04/2022","15","4","2022"
"243",28,12,2021,"Ngày 28","Tháng 12","Năm 2021","Chủ Nhật, ngày 30/01/2022","30","1","2022"
"244",23,3,2022,"Ngày 23","Tháng 3","Năm 2022","Thứ Bảy, ngày 23/04/2022","23","4","2022"
"245",17,12,2021,"Ngày 17","Tháng 12","Năm 2021","Thứ Tư, ngày 19/01/2022","19","1","2022"
"246",13,3,2022,"Ngày 13","Tháng 3","Năm 2022","Thứ Tư, ngày 13/04/2022","13","4","2022"
"247",2,11,2022,"Ngày 2","Tháng 11","Năm 2022","Thứ Ba, ngày 13/12/2022","13","12","2022"
"248",5,11,2022,"Ngày 5","Tháng 11","Năm 2022","Thứ Hai, ngày 28/11/2022","28","11","2022"
"249",9,3,2022,"Ngày 9","Tháng 3","Năm 2022","Thứ Bảy, ngày 09/04/2022","9","4","2022"
"250",3,11,2022,"Ngày 3","Tháng 11","Năm 2022","Thứ Ba, ngày 10/05/2022","10","05","2022"
"251",24,10,2022,"Ngày 24","Tháng 10","Năm 2022","Thứ Năm, ngày 17/11/2022","17","11","2022"
"252",6,3,2022,"Ngày 6","Tháng 3","Năm 2022","Thứ Tư, ngày 06/04/2022","6","4","2022"
"253",9,11,2022,"Ngày 9","Tháng 11","Năm 2022","Thứ Sáu, ngày 02/12/2022","2","12","2022"
"254",17,11,2022,"Ngày 17","Tháng 11","Năm 2022","Thứ Bảy, ngày 10/12/2022","10","12","2022"
"255",30,2,2022,"Ngày 30","Tháng 2","Năm 2022","Thứ Tư, ngày 11/05/2022","11","05","2022"
"256",30,11,2021,"Ngày 30","Tháng 11","Năm 2021","Chủ Nhật, ngày 02/01/2022","2","1","2022"
"257",5,11,2021,"Ngày 5","Tháng 11","Năm 2021","Thứ Tư, ngày 08/12/2021","8","12","2021"
"258",8,11,2021,"Ngày 8","Tháng 11","Năm 2021","Thứ Bảy, ngày 11/12/2021","11","12","2021"
"259",3,11,2021,"Ngày 3","Tháng 11","Năm 2021","Chủ Nhật, ngày 02/01/2022","2","1","2022"
"260",1,12,2022,"Ngày 1","Tháng 12","Năm 2022","Chủ Nhật, ngày 01/01/2023","1","1","2023"
"261",2,4,2022,"Ngày 2","Tháng 4","Năm 2022","Thứ Sáu, ngày 20/05/2022","20","5","2022"
"262",1,11,2022,"Ngày 1","Tháng 11","Năm 2022","Thứ Bảy, ngày 03/12/2022","3","12","2022"
"263",30,3,2022,"Ngày 30","Tháng 3","Năm 2022","Thứ Bảy, ngày 30/04/2022","30","4","2022"
"264",5,10,2022,"Ngày 5","Tháng 10","Năm 2022","Thứ Bảy, ngày 29/10/2022","29","10","2022"
"265",23,10,2021,"Ngày 23","Tháng 10","Năm 2021","Thứ Bảy, ngày 27/11/2021","27","11","2021"
"266",6,11,2021,"Ngày 6","Tháng 11","Năm 2021","Thứ Năm, ngày 09/12/2021","9","12","2021"
"267",6,10,2021,"Ngày 6","Tháng 10","Năm 2021","Thứ Tư, ngày 10/11/2021","10","11","2021"
"268",22,10,2021,"Ngày 22","Tháng 10","Năm 2021","Thứ Sáu, ngày 26/11/2021","26","11","2021"
"269",3,3,2022,"Ngày 3","Tháng 3","Năm 2022","Thứ Bảy, ngày 30/04/2022","30","4","2022"
"270",26,11,2021,"Ngày 26","Tháng 11","Năm 2021","Thứ Tư, ngày 29/12/2021","29","12","2021"
"271",15,5,2021,"Ngày 15","Tháng 5","Năm 2021","Thứ Năm, ngày 24/06/2021","24","6","2021"
"272",13,9,2022,"Ngày 13","Tháng 9","Năm 2022","Thứ Bảy, ngày 08/10/2022","8","10","2022"
"273",15,9,2021,"Ngày 15","Tháng 9","Năm 2021","Thứ Tư, ngày 20/10/2021","20","10","2021"
"274",1,10,2021,"Ngày 1","Tháng 10","Năm 2021","Chủ Nhật, ngày 14/11/2021","14","11","2021"
"275",6,8,2022,"Ngày 6","Tháng 8","Năm 2022","Thứ Năm, ngày 01/09/2022","1","9","2022"
"276",8,8,2022,"Ngày 8","Tháng 8","Năm 2022","Thứ Bảy, ngày 03/09/2022","3","9","2022"
"277",2,8,2022,"Ngày 2","Tháng 8","Năm 2022","Thứ Năm, ngày 15/09/2022","15","9","2022"
"278",5,8,2022,"Ngày 5","Tháng 8","Năm 2022","Thứ Tư, ngày 31/08/2022","31","8","2022"
"279",3,8,2022,"Ngày 3","Tháng 8","Năm 2022","Chủ Nhật, ngày 25/09/2022","25","9","2022"
"280",22,8,2022,"Ngày 22","Tháng 8","Năm 2022","Thứ Bảy, ngày 17/09/2022","17","9","2022"
"281",18,10,2022,"Ngày 18","Tháng 10","Năm 2022","Thứ Sáu, ngày 11/11/2022","11","11","2022"
"282",20,9,2022,"Ngày 20","Tháng 9","Năm 2022","Thứ Bảy, ngày 15/10/2022","15","10","2022"
"283",12,9,2022,"Ngày 12","Tháng 9","Năm 2022","Thứ Sáu, ngày 07/10/2022","7","10","2022"
"284",25,8,2022,"Ngày 25","Tháng 8","Năm 2022","Thứ Ba, ngày 20/09/2022","20","9","2022"
"285",17,10,2022,"Ngày 17","Tháng 10","Năm 2022","Thứ Năm, ngày 10/11/2022","10","11","2022"
"286",26,7,2022,"Ngày 26","Tháng 7","Năm 2022","Thứ Ba, ngày 23/08/2022","23","8","2022"
"287",9,5,2022,"Ngày 9","Tháng 5","Năm 2022","Thứ Ba, ngày 07/06/2022","7","6","2022"
"288",26,8,2022,"Ngày 26","Tháng 8","Năm 2022","Thứ Tư, ngày 21/09/2022","21","9","2022"
"289",2,12,2022,"Ngày 2","Tháng 12","Năm 2022","Thứ Tư, ngày 11/01/2023","11","1","2023"
"290",2,9,2022,"Ngày 2","Tháng 9","Năm 2022","Thứ Bảy, ngày 15/10/2022","15","10","2022"
"291",29,4,2022,"Ngày 29","Tháng 4","Năm 2022","Chủ Nhật, ngày 29/05/2022","29","5","2022"
"292",8,11,2022,"Ngày 8","Tháng 11","Năm 2022","Thứ Năm, ngày 01/12/2022","1","12","2022"
"293",25,6,2022,"Ngày 25","Tháng 6","Năm 2022","Thứ Bảy, ngày 23/07/2022","23","7","2022"
"294",16,7,2022,"Ngày 16","Tháng 7","Năm 2022","Thứ Bảy, ngày 13/08/2022","13","8","2022"
"295",15,9,2022,"Ngày 15","Tháng 9","Năm 2022","Thứ Hai, ngày 10/10/2022","10","10","2022"
"296",9,9,2022,"Ngày 9","Tháng 9","Năm 2022","Thứ Ba, ngày 04/10/2022","4","10","2022"
"297",15,7,2022,"Ngày 15","Tháng 7","Năm 2022","Thứ Sáu, ngày 12/08/2022","12","8","2022"
"298",9,7,2022,"Ngày 9","Tháng 7","Năm 2022","Thứ Bảy, ngày 06/08/2022","6","8","2022"
"299",15,3,2021,"Ngày 15","Tháng 3","Năm 2021","Thứ Hai, ngày 26/04/2021","26","4","2021"
"300",16,9,2022,"Ngày 16","Tháng 9","Năm 2022","Thứ Ba, ngày 11/10/2022","11","10","2022"
"301",7,10,2022,"Ngày 7","Tháng 10","Năm 2022","Thứ Hai, ngày 31/10/2022","31","10","2022"
"302",8,10,2022,"Ngày 8","Tháng 10","Năm 2022","Thứ Ba, ngày 01/11/2022","1","11","2022"
"303",6,10,2022,"Ngày 6","Tháng 10","Năm 2022","Chủ Nhật, ngày 30/10/2022","30","10","2022"
"304",1,10,2022,"Ngày 1","Tháng 10","Năm 2022","Thứ Năm, ngày 03/11/2022","3","11","2022"
"305",1,3,2022,"Ngày 1","Tháng 3","Năm 2022","Chủ Nhật, ngày 10/04/2022","10","4","2022"
"306",5,7,2022,"Ngày 5","Tháng 7","Năm 2022","Thứ Ba, ngày 02/08/2022","2","8","2022"
"307",19,8,2022,"Ngày 19","Tháng 8","Năm 2022","Thứ Tư, ngày 14/09/2022","14","9","2022"
"308",11,3,2022,"Ngày 11","Tháng 3","Năm 2022","Thứ Hai, ngày 11/04/2022","11","4","2022"
"309",10,7,2022,"Ngày 10","Tháng 7","Năm 2022","Chủ Nhật, ngày 07/08/2022","7","8","2022"
"310",12,11,2022,"Ngày 12","Tháng 11","Năm 2022","Thứ Hai, ngày 05/12/2022","5","12","2022"
"311",9,10,2022,"Ngày 9","Tháng 10","Năm 2022","Thứ Tư, ngày 02/11/2022","2","11","2022"
"312",30,10,2022,"Ngày 30","Tháng 10","Năm 2022","Thứ Tư, ngày 23/11/2022","23","11","2022"
"313",1,7,2022,"Ngày 1","Tháng 7","Năm 2022","Chủ Nhật, ngày 07/08/2022","7","8","2022"
"314",1,11,2021,"Ngày 1","Tháng 11","Năm 2021","Thứ Hai, ngày 13/12/2021","13","12","2021"
"315",4,8,2022,"Ngày 4","Tháng 8","Năm 2022","Thứ Ba, ngày 30/08/2022","30","8","2022"
"316",1,8,2022,"Ngày 1","Tháng 8","Năm 2022","Thứ Hai, ngày 05/09/2022","5","9","2022"
"317",19,10,2022,"Ngày 19","Tháng 10","Năm 2022","Thứ Bảy, ngày 12/11/2022","12","11","2022"
"318",15,8,2022,"Ngày 15","Tháng 8","Năm 2022","Thứ Bảy, ngày 10/09/2022","10","9","2022"
"319",14,2,2022,"Ngày 14","Tháng 2","Năm 2022","Thứ Tư, ngày 16/03/2022","16","3","2022"
"320",11,10,2021,"Ngày 11","Tháng 10","Năm 2021","Thứ Hai, ngày 15/11/2021","15","11","2021"
"321",2,11,2021,"Ngày 2","Tháng 11","Năm 2021","Thứ Năm, ngày 23/12/2021","23","12","2021"
"322",30,8,2022,"Ngày 30","Tháng 8","Năm 2022","Chủ Nhật, ngày 25/09/2022","25","9","2022"
"323",5,9,2022,"Ngày 5","Tháng 9","Năm 2022","Thứ Sáu, ngày 30/09/2022","30","9","2022"
"324",25,9,2021,"Ngày 25","Tháng 9","Năm 2021","Thứ Bảy, ngày 30/10/2021","30","10","2021"
"325",25,9,2022,"Ngày 25","Tháng 9","Năm 2022","Thứ Năm, ngày 20/10/2022","20","10","2022"
"326",7,10,2021,"Ngày 7","Tháng 10","Năm 2021","Thứ Năm, ngày 11/11/2021","11","11","2021"
"327",4,10,2021,"Ngày 4","Tháng 10","Năm 2021","Thứ Hai, ngày 08/11/2021","8","11","2021"
"328",28,8,2022,"Ngày 28","Tháng 8","Năm 2022","Thứ Sáu, ngày 23/09/2022","23","9","2022"
"329",20,8,2022,"Ngày 20","Tháng 8","Năm 2022","Thứ Năm, ngày 15/09/2022","15","9","2022"
"330",18,8,2022,"Ngày 18","Tháng 8","Năm 2022","Thứ Ba, ngày 13/09/2022","13","9","2022"
"331",9,10,2021,"Ngày 9","Tháng 10","Năm 2021","Thứ Bảy, ngày 13/11/2021","13","11","2021"
"332",26,2,2022,"Ngày 26","Tháng 2","Năm 2022","Thứ Hai, ngày 28/03/2022","28","3","2022"
"333",8,10,2021,"Ngày 8","Tháng 10","Năm 2021","Thứ Sáu, ngày 12/11/2021","12","11","2021"
"334",11,7,2022,"Ngày 11","Tháng 7","Năm 2022","Thứ Hai, ngày 08/08/2022","8","8","2022"
"335",18,3,2022,"Ngày 18","Tháng 3","Năm 2022","Thứ Hai, ngày 18/04/2022","18","4","2022"
"336",3,12,2021,"Ngày 3","Tháng 12","Năm 2021","Thứ Năm, ngày 05/05/2022","05","05","2022"
"337",18,3,2021,"Ngày 18","Tháng 3","Năm 2021","Thứ Năm, ngày 29/04/2021","29","4","2021"
"338",20,3,2021,"Ngày 20","Tháng 3","Năm 2021","Thứ Bảy, ngày 01/05/2021","1","5","2021"
"339",12,3,2022,"Ngày 12","Tháng 3","Năm 2022","Thứ Ba, ngày 12/04/2022","12","4","2022"
"340",3,10,2022,"Ngày 3","Tháng 10","Năm 2022","Thứ Tư, ngày 23/11/2022","23","11","2022"
"341",13,8,2022,"Ngày 13","Tháng 8","Năm 2022","Thứ Năm, ngày 08/09/2022","8","9","2022"
"342",18,9,2022,"Ngày 18","Tháng 9","Năm 2022","Thứ Năm, ngày 13/10/2022","13","10","2022"
"343",10,8,2022,"Ngày 10","Tháng 8","Năm 2022","Thứ Hai, ngày 05/09/2022","5","9","2022"
"344",12,8,2022,"Ngày 12","Tháng 8","Năm 2022","Thứ Tư, ngày 07/09/2022","7","9","2022"
"345",10,9,2022,"Ngày 10","Tháng 9","Năm 2022","Thứ Tư, ngày 05/10/2022","5","10","2022"
"346",9,8,2022,"Ngày 9","Tháng 8","Năm 2022","Chủ Nhật, ngày 04/09/2022","4","9","2022"
"347",24,5,2022,"Ngày 24","Tháng 5","Năm 2022","Thứ Tư, ngày 22/06/2022","22","6","2022"
"348",6,9,2022,"Ngày 6","Tháng 9","Năm 2022","Thứ Bảy, ngày 01/10/2022","1","10","2022"
"349",25,3,2022,"Ngày 25","Tháng 3","Năm 2022","Thứ Hai, ngày 25/04/2022","25","4","2022"
"350",8,3,2022,"Ngày 8","Tháng 3","Năm 2022","Thứ Sáu, ngày 08/04/2022","8","4","2022"
"351",24,3,2022,"Ngày 24","Tháng 3","Năm 2022","Chủ Nhật, ngày 24/04/2022","24","4","2022"
"352",29,3,2022,"Ngày 29","Tháng 3","Năm 2022","Thứ Sáu, ngày 29/04/2022","29","4","2022"
"353",26,3,2022,"Ngày 26","Tháng 3","Năm 2022","Thứ Ba, ngày 26/04/2022","26","4","2022"
"354",31,3,2022,"Ngày 31","Tháng 3","Năm 2022","Thứ Tư, ngày 18/05/2022","18","05","2022"
"355",21,2,2022,"Ngày 21","Tháng 2","Năm 2022","Thứ Tư, ngày 23/03/2022","23","3","2022"
"356",11,1,2023,"Ngày 11","Tháng 1","Năm 2023","Thứ Tư, ngày 01/02/2023","1","2","2023"
"357",11,1,2022,"Ngày 11","Tháng 1","Năm 2022","Thứ Sáu, ngày 11/02/2022","11","2","2022"
"358",23,1,2022,"Ngày 23","Tháng 1","Năm 2022","Thứ Tư, ngày 23/02/2022","23","2","2022"
"359",14,12,2021,"Ngày 14","Tháng 12","Năm 2021","Chủ Nhật, ngày 16/01/2022","16","1","2022"
"360",25,5,2021,"Ngày 25","Tháng 5","Năm 2021","Chủ Nhật, ngày 04/07/2021","4","7","2021"
"361",2,2,2023,"Ngày 2","Tháng 2","Năm 2023","Thứ Bảy, ngày 11/03/2023","11","3","2023"
"362",3,2,2023,"Ngày 3","Tháng 2","Năm 2023","Thứ Ba, ngày 21/03/2023","21","3","2023"
"363",14,12,2022,"Ngày 14","Tháng 12","Năm 2022","Thứ Năm, ngày 05/01/2023","5","1","2023"
"364",5,1,2023,"Ngày 5","Tháng 1","Năm 2023","Thứ Năm, ngày 26/01/2023","26","1","2023"
"365",7,1,2023,"Ngày 7","Tháng 1","Năm 2023","Thứ Bảy, ngày 28/01/2023","28","1","2023"
"366",4,2,2023,"Ngày 4","Tháng 2","Năm 2023","Thứ Năm, ngày 23/02/2023","23","2","2023"
"367",5,2,2023,"Ngày 5","Tháng 2","Năm 2023","Thứ Sáu, ngày 24/02/2023","24","2","2023"
"368",6,1,2023,"Ngày 6","Tháng 1","Năm 2023","Thứ Sáu, ngày 27/01/2023","27","1","2023"
"369",10,5,2023,"Ngày 10","Tháng 5","Năm 2023","Thứ Ba, ngày 27/06/2023","27","6","2023"
"370",18,2,2023,"Ngày 18","Tháng 2","Năm 2023","Thứ Năm, ngày 09/03/2023","9","3","2023"
"371",15,2,2023,"Ngày 15","Tháng 2","Năm 2023","Thứ Hai, ngày 06/03/2023","6","3","2023"
"372",16,2,2023,"Ngày 16","Tháng 2","Năm 2023","Thứ Ba, ngày 07/03/2023","7","3","2023"
"373",20,2,2023,"Ngày 20","Tháng 2","Năm 2023","Thứ Bảy, ngày 11/03/2023","11","3","2023"
"374",21,6,2022,"Ngày 21","Tháng 6","Năm 2022","Thứ Ba, ngày 19/07/2022","19","7","2022"
"375",28,1,2023,"Ngày 28","Tháng 1","Năm 2023","Thứ Bảy, ngày 18/02/2023","18","2","2023"
"376",3,7,2022,"Ngày 3","Tháng 7","Năm 2022","Thứ Tư, ngày 25/05/2022","25","05","2022"
"377",2,7,2022,"Ngày 2","Tháng 7","Năm 2022","Thứ Tư, ngày 17/08/2022","17","8","2022"
"378",23,1,2023,"Ngày 23","Tháng 1","Năm 2023","Thứ Hai, ngày 13/02/2023","13","2","2023"
"379",4,5,2023,"Ngày 4","Tháng 5","Năm 2023","Thứ Tư, ngày 21/06/2023","21","6","2023"
"380",26,1,2023,"Ngày 26","Tháng 1","Năm 2023","Thứ Năm, ngày 16/02/2023","16","2","2023"
"381",5,5,2023,"Ngày 5","Tháng 5","Năm 2023","Thứ Năm, ngày 22/06/2023","22","6","2023"
"382",1,5,2023,"Ngày 1","Tháng 5","Năm 2023","Thứ Ba, ngày 27/06/2023","27","6","2023"
"383",8,2,2023,"Ngày 8","Tháng 2","Năm 2023","Thứ Hai, ngày 27/02/2023","27","2","2023"
"384",9,2,2023,"Ngày 9","Tháng 2","Năm 2023","Thứ Ba, ngày 28/02/2023","28","2","2023"
"385",11,5,2023,"Ngày 11","Tháng 5","Năm 2023","Thứ Tư, ngày 28/06/2023","28","6","2023"
"386",7,2,2023,"Ngày 7","Tháng 2","Năm 2023","Chủ Nhật, ngày 26/02/2023","26","2","2023"
"387",7,5,2023,"Ngày 7","Tháng 5","Năm 2023","Thứ Bảy, ngày 24/06/2023","24","6","2023"
"388",25,2,2023,"Ngày 25","Tháng 2","Năm 2023","Thứ Năm, ngày 16/03/2023","16","3","2023"
"389",9,5,2023,"Ngày 9","Tháng 5","Năm 2023","Thứ Hai, ngày 26/06/2023","26","6","2023"
"390",8,5,2023,"Ngày 8","Tháng 5","Năm 2023","Chủ Nhật, ngày 25/06/2023","25","6","2023"
"391",3,5,2023,"Ngày 3","Tháng 5","Năm 2023","Thứ Hai, ngày 17/07/2023","17","7","2023"
"392",30,4,2023,"Ngày 30","Tháng 4","Năm 2023","Thứ Bảy, ngày 17/06/2023","17","6","2023"
"393",10,1,2023,"Ngày 10","Tháng 1","Năm 2023","Thứ Ba, ngày 31/01/2023","31","1","2023"
"394",8,7,2022,"Ngày 8","Tháng 7","Năm 2022","Thứ Sáu, ngày 05/08/2022","5","8","2022"
"395",20,7,2022,"Ngày 20","Tháng 7","Năm 2022","Thứ Tư, ngày 17/08/2022","17","8","2022"
"396",18,12,2022,"Ngày 18","Tháng 12","Năm 2022","Thứ Hai, ngày 09/01/2023","9","1","2023"
"397",9,12,2022,"Ngày 9","Tháng 12","Năm 2022","Thứ Bảy, ngày 31/12/2022","31","12","2022"
"398",30,4,2022,"Ngày 30","Tháng 4","Năm 2022","Thứ Hai, ngày 23/05/2022","23","05","2022"
"399",27,11,2022,"Ngày 27","Tháng 11","Năm 2022","Thứ Ba, ngày 20/12/2022","20","12","2022"
"400",11,12,2022,"Ngày 11","Tháng 12","Năm 2022","Thứ Hai, ngày 02/01/2023","2","1","2023"
"401",22,11,2022,"Ngày 22","Tháng 11","Năm 2022","Thứ Năm, ngày 15/12/2022","15","12","2022"
"402",19,11,2022,"Ngày 19","Tháng 11","Năm 2022","Thứ Hai, ngày 12/12/2022","12","12","2022"
"403",25,4,2023,"Ngày 25","Tháng 4","Năm 2023","Thứ Hai, ngày 12/06/2023","12","6","2023"
"404",19,5,2022,"Ngày 19","Tháng 5","Năm 2022","Thứ Sáu, ngày 17/06/2022","17","6","2022"
"405",28,12,2022,"Ngày 28","Tháng 12","Năm 2022","Thứ Năm, ngày 19/01/2023","19","1","2023"
"406",25,7,2022,"Ngày 25","Tháng 7","Năm 2022","Thứ Hai, ngày 22/08/2022","22","8","2022"
"407",28,11,2022,"Ngày 28","Tháng 11","Năm 2022","Thứ Tư, ngày 21/12/2022","21","12","2022"
"408",16,10,2022,"Ngày 16","Tháng 10","Năm 2022","Thứ Tư, ngày 09/11/2022","9","11","2022"
"409",13,10,2022,"Ngày 13","Tháng 10","Năm 2022","Chủ Nhật, ngày 06/11/2022","6","11","2022"
"410",29,10,2022,"Ngày 29","Tháng 10","Năm 2022","Thứ Ba, ngày 22/11/2022","22","11","2022"
"411",28,10,2022,"Ngày 28","Tháng 10","Năm 2022","Thứ Hai, ngày 21/11/2022","21","11","2022"
"412",5,5,2021,"Ngày 5","Tháng 5","Năm 2021","Thứ Hai, ngày 14/06/2021","14","6","2021"
"413",14,3,2022,"Ngày 14","Tháng 3","Năm 2022","Thứ Năm, ngày 14/04/2022","14","4","2022"
"414",11,11,2022,"Ngày 11","Tháng 11","Năm 2022","Chủ Nhật, ngày 04/12/2022","4","12","2022"
"415",26,10,2022,"Ngày 26","Tháng 10","Năm 2022","Thứ Bảy, ngày 19/11/2022","19","11","2022"
"416",30,11,2022,"Ngày 30","Tháng 11","Năm 2022","Thứ Sáu, ngày 20/05/2022","20","05","2022"
"417",14,11,2022,"Ngày 14","Tháng 11","Năm 2022","Thứ Tư, ngày 07/12/2022","7","12","2022"
"418",8,4,2023,"Ngày 8","Tháng 4","Năm 2023","Thứ Sáu, ngày 26/05/2023","26","5","2023"
"419",7,4,2023,"Ngày 7","Tháng 4","Năm 2023","Thứ Năm, ngày 25/05/2023","25","5","2023"
"420",NA,NA,NA,NA,NA,NA,"Thứ Tư, ngày 28/12/2022","28","12","2022"
"421",4,9,2022,"Ngày 4","Tháng 9","Năm 2022","Thứ Năm, ngày 29/09/2022","29","9","2022"
"422",18,7,2022,"Ngày 18","Tháng 7","Năm 2022","Thứ Hai, ngày 15/08/2022","15","8","2022"
"423",14,1,2023,"Ngày 14","Tháng 1","Năm 2023","Thứ Bảy, ngày 04/02/2023","4","2","2023"
"424",25,1,2023,"Ngày 25","Tháng 1","Năm 2023","Thứ Tư, ngày 15/02/2023","15","2","2023"
"425",19,2,2022,"Ngày 19","Tháng 2","Năm 2022","Thứ Hai, ngày 21/03/2022","21","3","2022"
"426",27,2,2022,"Ngày 27","Tháng 2","Năm 2022","Thứ Ba, ngày 29/03/2022","29","3","2022"
"427",2,10,2022,"Ngày 2","Tháng 10","Năm 2022","Chủ Nhật, ngày 13/11/2022","13","11","2022"
"428",11,9,2022,"Ngày 11","Tháng 9","Năm 2022","Thứ Năm, ngày 06/10/2022","6","10","2022"
"429",27,3,2022,"Ngày 27","Tháng 3","Năm 2022","Thứ Tư, ngày 27/04/2022","27","4","2022"
"430",1,9,2022,"Ngày 1","Tháng 9","Năm 2022","Thứ Tư, ngày 05/10/2022","5","10","2022"
"431",13,7,2022,"Ngày 13","Tháng 7","Năm 2022","Thứ Tư, ngày 10/08/2022","10","8","2022"
"432",24,1,2022,"Ngày 24","Tháng 1","Năm 2022","Thứ Năm, ngày 24/02/2022","24","2","2022"
"433",16,5,2021,"Ngày 16","Tháng 5","Năm 2021","Thứ Sáu, ngày 25/06/2021","25","6","2021"
"434",20,1,2023,"Ngày 20","Tháng 1","Năm 2023","Thứ Sáu, ngày 10/02/2023","10","2","2023"
"435",17,7,2022,"Ngày 17","Tháng 7","Năm 2022","Chủ Nhật, ngày 14/08/2022","14","8","2022"
"436",20,10,2021,"Ngày 20","Tháng 10","Năm 2021","Thứ Tư, ngày 24/11/2021","24","11","2021"
"437",9,2,2021,"Ngày 9","Tháng 2","Năm 2021","Chủ Nhật, ngày 21/03/2021","21","3","2021"
"438",21,3,2022,"Ngày 21","Tháng 3","Năm 2022","Thứ Năm, ngày 21/04/2022","21","4","2022"
"439",22,4,2023,"Ngày 22","Tháng 4","Năm 2023","Thứ Sáu, ngày 09/06/2023","9","6","2023"
"440",20,4,2023,"Ngày 20","Tháng 4","Năm 2023","Thứ Tư, ngày 07/06/2023","7","6","2023"
"441",16,4,2023,"Ngày 16","Tháng 4","Năm 2023","Thứ Bảy, ngày 03/06/2023","3","6","2023"
"442",24,3,2023,"Ngày 24","Tháng 3","Năm 2023","Thứ Bảy, ngày 13/05/2023","13","5","2023"
"443",3,4,2023,"Ngày 3","Tháng 4","Năm 2023","Thứ Bảy, ngày 17/06/2023","17","6","2023"
"444",16,1,2023,"Ngày 16","Tháng 1","Năm 2023","Thứ Hai, ngày 06/02/2023","6","2","2023"
"445",20,5,2023,"Ngày 20","Tháng 5","Năm 2023","Thứ Sáu, ngày 07/07/2023","7","7","2023"
"446",22,1,2023,"Ngày 22","Tháng 1","Năm 2023","Chủ Nhật, ngày 12/02/2023","12","2","2023"
"447",8,1,2023,"Ngày 8","Tháng 1","Năm 2023","Chủ Nhật, ngày 29/01/2023","29","1","2023"
"448",14,5,2023,"Ngày 14","Tháng 5","Năm 2023","Thứ Bảy, ngày 01/07/2023","1","7","2023"
"449",22,5,2023,"Ngày 22","Tháng 5","Năm 2023","Chủ Nhật, ngày 09/07/2023","9","7","2023"
"450",28,5,2023,"Ngày 28","Tháng 5","Năm 2023","Thứ Bảy, ngày 15/07/2023","15","7","2023"
"451",13,5,2023,"Ngày 13","Tháng 5","Năm 2023","Thứ Sáu, ngày 30/06/2023","30","6","2023"
"452",15,1,2023,"Ngày 15","Tháng 1","Năm 2023","Chủ Nhật, ngày 05/02/2023","5","2","2023"
"453",1,3,2023,"Ngày 1","Tháng 3","Năm 2023","Thứ Bảy, ngày 29/04/2023","29","4","2023"
"454",21,12,2022,"Ngày 21","Tháng 12","Năm 2022","Thứ Năm, ngày 12/01/2023","12","1","2023"
"455",2,5,2023,"Ngày 2","Tháng 5","Năm 2023","Thứ Sáu, ngày 07/07/2023","7","7","2023"
"456",3,1,2023,"Ngày 3","Tháng 1","Năm 2023","Thứ Năm, ngày 19/05/2022","19","05","2022"
"457",19,5,2023,"Ngày 19","Tháng 5","Năm 2023","Thứ Năm, ngày 06/07/2023","6","7","2023"
"458",13,1,2023,"Ngày 13","Tháng 1","Năm 2023","Thứ Sáu, ngày 03/02/2023","3","2","2023"
"459",4,1,2023,"Ngày 4","Tháng 1","Năm 2023","Thứ Tư, ngày 25/01/2023","25","1","2023"
"460",10,6,2023,"Ngày 10","Tháng 6","Năm 2023","Thứ Năm, ngày 27/07/2023","27","7","2023"
"461",9,4,2023,"Ngày 9","Tháng 4","Năm 2023","Thứ Bảy, ngày 27/05/2023","27","5","2023"
"462",14,6,2023,"Ngày 14","Tháng 6","Năm 2023","Thứ Hai, ngày 31/07/2023","31","7","2023"
"463",21,1,2023,"Ngày 21","Tháng 1","Năm 2023","Thứ Bảy, ngày 11/02/2023","11","2","2023"
"464",18,1,2023,"Ngày 18","Tháng 1","Năm 2023","Thứ Tư, ngày 08/02/2023","8","2","2023"
"465",12,1,2023,"Ngày 12","Tháng 1","Năm 2023","Thứ Năm, ngày 02/02/2023","2","2","2023"
"466",5,6,2023,"Ngày 5","Tháng 6","Năm 2023","Thứ Bảy, ngày 22/07/2023","22","7","2023"
"467",3,6,2023,"Ngày 3","Tháng 6","Năm 2023","Thứ Hai, ngày 16/05/2022","16","05","2022"
