"","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B51A_C1","M4B51A_C2","M4B51A_C3","M4B51A_C4","M4B51A_C5","M4B51A_C12M","M4B51A_C12Y","M4B51A_C131","M4B51A_C132","M4B51A_C133","M4B51A_C134","M4B51A_C135","M4B51A_C136","M4B51A_C137","M4B51A_C138","M4B51A_C138_GHIRO","M4B51A_C14","M4B51A_C15","M4B51A_C16","M4B51A_C17","M4B51A_C18","M4B51A_C19","M4B51A_C20","M4B51A_C21","M4B51A_C22","M4B51A_C23A","M4B51A_C23M","M4B51A_C23Y","M4B51A_C24","M4B51A_C25"
"135","02554001003","08","076","02554","001","003",1,2010,1,NA,2,1,2,2021,2,1,2,2,2,2,2,2,NA,"99","02554",3,2,"rô phi ta",100,0,10,500,2,2,2022,1,5
"136","02572016007","08","076","02572","016","007",1,2020,1,NA,1,1,2,2022,2,1,2,2,2,2,2,2,NA,"99","02572",1.5,2,"rô phi ta",300,80,5,300,1,1,2023,1,2
"137","02734008008","10","082","02734","008","008",1,2012,1,NA,1,1,2,2022,2,2,2,2,2,1,2,2,NA,"99","02734",1,8,"cá rô phi đơn tính",5000,200,5,2500,2,11,2022,1,1
"138","02734008012","10","082","02734","008","012",1,2014,1,NA,1,1,2,2022,2,2,2,2,2,1,2,2,NA,"99","02734",1,7,"cá rô phi đơn tính",1000,100,5,500,2,11,2022,1,1
"139","04537008003","15","138","04537","008","003",1,2021,1,NA,1,1,3,2022,2,1,2,2,2,2,2,2,NA,"99","04504",60,1,"rô phi thường",20,0,0,100,1,12,2022,4,5
"140","04537008013","15","138","04537","008","013",1,2022,1,NA,1,1,2,2022,2,2,1,2,2,2,2,2,NA,"99","04537",2,1,"rô phi thường",50,20,6,70,2,12,2022,1,2
"141","04768003008","15","141","04768","003","008",1,2018,1,NA,1,1,4,2022,2,2,2,1,2,2,2,2,NA,"Trại cá giống huyện Yên Bình","04768",3,4,"Rô phi đường nghiệp",300,300,10,250,1,2,2023,1,2
"142","04768003009","15","141","04768","003","009",1,2020,1,NA,2,1,4,2021,2,2,2,1,2,2,2,2,NA,"Trại Giống thủy sản Yên Bình","04768",5,7,"Đường nghiệp",500,500,2.5,1250,2,2,2023,1,2
"143","04768003015","15","141","04768","003","015",1,2010,1,NA,1,1,4,2022,2,2,2,1,2,2,2,2,NA,"Trại Giống cá huyện Yên Bình","04768",4,10,"đường nghiệp",1000,1000,2,2500,2,1,2023,1,2
"144","06472005014","20","187","06472","005","014",1,2014,1,NA,2,1,4,2014,2,1,2,2,2,2,2,2,NA,"không nhớ","06472",1,7,"không biết",70,30,6,0,2,98,2022,1,5
"145","08179008001","25","232","08179","008","001",1,2020,1,NA,1,1,3,2022,2,2,1,2,1,2,2,2,NA,"99","08347",15,2,"rô phi đơn tính",100,20,4,100,1,1,2023,1,2
"146","08179008007","25","232","08179","008","007",1,2010,1,NA,1,1,4,2022,2,1,1,2,2,2,2,2,NA,"99","08347",15,10,"rô phi đơn tính",100,30,5,500,1,1,2023,1,2
"147","08443003011","25","236","08443","003","011",1,2020,1,NA,1,1,1,2023,2,2,2,2,1,2,2,2,NA,"99","08518",20,3,"cá rô đơn tính",500,280,4,150,3,11,2022,1,2
"148","10771008014","30","293","10771","008","014",1,2016,1,NA,2,1,1,2022,2,2,2,2,2,1,2,2,NA,"99","10771",999,3,"rô phi đơn tính",50,10,5,5,2,98,2022,4,5
"149","11059010013","30","297","11059","010","013",1,2016,2,3,1,1,4,2022,2,2,2,2,1,2,2,2,NA,"Hợp tác xã thủy sản xuyên việt","11050",4.5,2,"cá rô phi cỏ",120,25,2,160,1,12,2022,1,1
"150","11092003011","30","298","11092","003","011",1,2003,1,NA,1,1,11,2022,2,2,2,2,1,2,2,2,NA,"Nguyễn Đức chí","11083",2,10,"rô phi Bảo Lộc",5000,0,2,8500,1,6,2022,1,1
"151","11971007008","33","323","11971","007","008",1,2020,1,NA,2,1,2,2022,2,2,1,2,2,2,2,2,NA,"99","11971",5,3,"cá rô phi đơn tính",40,20,5,180,2,2,2023,4,5
"152","15046006007","38","388","15046","006","007",1,2000,2,10,2,1,3,2020,2,2,2,2,1,2,2,2,NA,"trại giống","16528",130,2,"cá rô phi đơn tính",500,229,5,2500,1,12,2022,1,2
"153","15136014013","38","390","15136","014","013",1,2018,1,NA,1,1,2,2022,2,2,2,2,2,2,2,1,"người bán rong","Anh Đồng Hà Nam","13381",80,2,"Không biết",999,999,2.5,400,2,12,2022,1,2
"154","16204003014","38","402","16204","003","014",1,2020,1,NA,1,1,7,2020,2,2,2,2,1,2,2,2,NA,"99","14839",80,2,"Rô phi đơn tính",100,0,3,300,2,12,2022,1,2
"155","16636014005","38","407","16636","014","005",1,2015,1,NA,2,1,4,2021,2,2,2,2,1,2,2,2,NA,"quảng xương t hóa","16459",35,8,"ca ro phi dơn tính",2000,2000,8,2000,2,6,2022,1,1
"156","17554009005","40","426","17554","009","005",1,2018,1,NA,2,1,2,2022,2,1,2,2,2,2,2,2,NA,"99","17554",4,3,"cá rô phi đơn tính",20,15,5,50,2,12,2022,1,2
"157","23023020001","60","596","23023","020","001",1,2016,1,NA,1,1,12,2022,2,2,2,2,1,2,2,2,NA,"tư cao","26449",999,3,"rô phi đài loan",15000,9000,2,18000,3,11,2022,1,NA
"158","24709006010","67","664","24709","006","010",1,2016,1,NA,1,1,3,2022,2,2,2,2,1,2,2,2,NA,"99","24700",28,5,"rô phi đơn tính",12000,11000,2,2500,2,3,2023,1,1
"159","28708030009","82","816","28708","030","009",1,2016,1,NA,1,1,6,2022,2,2,2,2,1,2,2,2,NA,"99","28729",10,7,"cá rô phi",100,50,2.5,100,2,4,2022,1,5
"160","28708030012","82","816","28708","030","012",1,2018,1,NA,2,1,5,2018,2,2,2,2,1,2,2,2,NA,"Tùng","28729",10,1,"cá rô phi",4000,2000,2,500,2,7,2022,1,5
"161","32035007003","96","964","32035","007","003",1,2019,1,NA,1,1,7,2018,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"999",999,99,2,99,2,12,2022,1,1
"162","32035007005","96","964","32035","007","005",1,2005,1,NA,2,1,98,2020,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"không biết",9999,9999,2,99,2,2,2023,1,1
"163","32035007006","96","964","32035","007","006",1,2008,1,NA,1,1,2,2016,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"999",999,99,2,350,2,2,2023,1,1
"164","32035007007","96","964","32035","007","007",1,2005,1,NA,1,1,3,2018,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"999",999,99,2,99,2,3,2023,1,1
"165","32035007009","96","964","32035","007","009",1,2004,1,NA,2,1,98,2021,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá đồng",999,999,2,0,2,2,2023,1,2
"166","32035007010","96","964","32035","007","010",1,2008,1,NA,2,1,1,2018,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"999",999,99,2,99,2,2,2023,1,1
"167","32035007011","96","964","32035","007","011",1,2016,1,NA,2,1,2,2019,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"999",999,99,2,400,2,2,2023,1,1
"168","32035007012","96","964","32035","007","012",1,2006,1,NA,1,1,12,2021,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"999",999,2,2,99,2,3,2023,1,1
"169","32035007013","96","964","32035","007","013",1,2016,1,NA,2,1,2,2023,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"999",999,99,2,300,2,2,2023,1,2
"170","32035007014","96","964","32035","007","014",1,2005,1,NA,1,1,1,2020,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"999",999,999,2,999,2,2,2023,1,1
"171","32044012001","96","966","32044","012","001",1,2020,1,NA,2,0,2,2020,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"0",0,0,0,0,2,12,2022,1,2
"172","32044012003","96","966","32044","012","003",1,2010,1,NA,2,0,98,2022,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"0",0,0,0,0,2,2,2022,1,2
"173","32044012013","96","966","32044","012","013",1,2000,1,NA,2,0,2,2022,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"0",0,0,0,0,2,2,2022,1,2
"174","32044012015","96","966","32044","012","015",1,2010,1,NA,2,0,2,2020,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"0",0,0,0,0,2,2,2022,1,2
"175","32086012002","96","967","32086","012","002",1,2000,1,NA,2,1,1,2013,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,12,2022,1,2
"176","32086012007","96","967","32086","012","007",1,2001,1,NA,2,1,1,2023,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,12,2022,1,NA
"177","32086012008","96","967","32086","012","008",1,2000,1,NA,2,1,98,2020,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"0",0,0,0,0,2,8,2022,1,2
"178","32086012010","96","967","32086","012","010",1,2000,1,NA,2,1,1,2013,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"0",0,0,0,0,2,12,2022,1,2
"179","32086012011","96","967","32086","012","011",1,2013,1,NA,2,1,6,2022,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,12,2022,1,2
"180","32086012012","96","967","32086","012","012",1,2000,1,NA,2,1,1,2013,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"0",0,0,0,0,2,12,2022,1,2
"181","32086012014","96","967","32086","012","014",1,2003,1,NA,2,1,1,2023,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,12,2022,1,2
"182","32086012015","96","967","32086","012","015",1,2008,1,NA,2,1,1,2023,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",0,0,0,0,2,98,2022,1,2
"183","32174002011","96","970","32174","002","011",1,2000,1,NA,2,1,9,2013,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phi",10000,0,3,0,2,9,2022,4,5
"184","32174002013","96","970","32174","002","013",1,2000,1,NA,2,1,6,2013,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phi",0,0,4,0,2,2,2022,4,5
"185","32188012004","96","970","32188","012","004",1,2000,1,NA,2,1,7,2018,2,1,2,2,2,2,2,2,NA,"0","32188",150,1,"cá phi",10000,1000,5,1500,2,1,2023,4,2
"186","32245003001","96","973","32245","003","001",1,2018,1,NA,2,1,1,2018,2,2,2,2,1,2,2,2,NA,"99","32128",56,5,"cá phi đài loan",1200,200,1,360,2,1,2023,1,2
"187","32245003003","96","973","32245","003","003",1,2013,2,10,2,1,1,2013,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi",500,100,1,200,2,1,2023,1,2
"188","32245003010","96","973","32245","003","010",1,2000,1,NA,2,1,1,2013,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi vuông",99,99,1,0,2,1,2023,1,2
"189","32245003011","96","973","32245","003","011",1,2010,1,NA,2,1,1,2013,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phi vuông",99,99,1,0,2,1,2023,1,2
"190","32245003015","96","973","32245","003","015",1,2000,1,NA,2,1,1,2013,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá rô phi vuông",99,99,1,0,2,1,2023,1,2
"191","32245003019","96","973","32245","003","019",1,2000,1,NA,2,1,1,2013,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,"cá phi vuông",99,99,1,0,2,1,2023,1,2
"192","02500005005","08","075","02500","005","005",4,2018,1,NA,2,1,6,2021,2,1,2,2,2,2,2,2,"","Nguyễn Văn Lĩnh","02500",0.5,1,"đơn tính",120,120,5,0,1,11,2023,4,2
"193","02530008010","08","075","02530","008","010",4,2019,1,NA,2,1,6,2021,2,2,2,2,1,2,2,2,"","99","02530",2,1,"đơn tính",50,50,5,300,1,8,2023,1,2
"194","04780001012","15","141","04780","001","012",4,2021,1,NA,2,1,3,2021,2,2,2,2,2,2,2,1,"thương lái mang tận nhà","99","02536",40,1,"rô phi lai",1000,1000,2,1500,2,NA,NA,1,2
"195","07921002013","25","227","07921","002","013",4,2016,1,NA,2,1,1,2021,2,1,2,2,2,2,2,2,"","trại cá phượng lâu","07921",2,2,"rô pho đơn tính",100,60,10,1000,1,1,2023,1,2
"196","11587012001","31","312","11587","012","001",4,2022,1,NA,1,1,2,2022,2,2,1,2,2,2,2,2,"","cở sở cá giống Đại Quyên","11593",5,2,"rô phi đơn tính",100,100,1.5,100,2,NA,NA,1,2
"197","31807009005","94","950","31807","009","005",4,2022,2,1,1,2,11,2022,2,1,2,2,2,2,2,2,"","99","31810",999,1,"cá rô phi",300,300,2,150,1,5,2023,1,1
"198","31810006009","94","950","31810","006","009",4,2021,1,NA,2,2,12,2022,2,1,2,2,2,2,2,1,"cá tự nhiên","99","31810",999,0,"cá rô phi",700,500,1.5,0,1,4,2023,1,1
"199","32053034001","96","966","32053","034","001",4,2000,1,NA,2,1,1,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thiên nhiên",1000,0,5,0,2,NA,NA,1,2
"200","32053034002","96","966","32053","034","002",4,2014,1,NA,2,1,9,2022,2,2,2,2,2,2,2,1,"tự có","99","32053",2,0,"0",0,0,0,0,2,NA,NA,1,2
"201","32053034003","96","966","32053","034","003",4,2019,1,NA,2,1,1,2019,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thiên nhiên",1000,0,5,0,2,NA,NA,1,2
"202","32053034004","96","966","32053","034","004",4,2015,2,2,2,1,1,2023,2,2,2,2,2,2,2,1,"tự có","99","32053",2,0,"0",0,0,0,0,2,NA,NA,1,2
"203","32053034005","96","966","32053","034","005",4,2000,1,NA,2,1,1,2016,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thiên nhiên",2000,0,6,0,2,NA,NA,1,2
"204","32053034006","96","966","32053","034","006",4,2000,1,NA,2,1,1,2016,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thiên nhiên",3000,0,5,0,2,NA,NA,1,2
"205","32053034007","96","966","32053","034","007",4,2015,1,NA,2,1,4,2023,1,2,2,2,2,2,2,1,"tự có","0","32053",4,0,"0",0,0,0,0,2,NA,NA,1,2
"206","32053034008","96","966","32053","034","008",4,2020,1,NA,2,1,1,2023,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thiên nhiên",1000,0,5,0,2,NA,NA,1,2
"207","32053034010","96","966","32053","034","010",4,2000,1,NA,2,1,1,2015,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thiên nhiên",3000,0,6,0,2,NA,NA,1,2
"208","32053034011","96","966","32053","034","011",4,2015,1,NA,2,1,5,2022,2,2,2,2,2,2,2,1,"tự có","99","32053",5,0,"không mua",0,0,0,0,2,NA,NA,1,2
"209","32053034012","96","966","32053","034","012",4,2000,1,NA,2,1,8,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thiên nhiên",2000,0,8,0,2,NA,NA,1,2
"210","32053034014","96","966","32053","034","014",4,2000,1,NA,2,1,1,2015,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thiên nhiên",1500,0,6,0,2,NA,NA,1,2
"211","32053034015","96","966","32053","034","015",4,2015,1,NA,2,1,9,2022,2,2,2,2,2,2,2,1,"tự có","99","32053",2,0,"0",0,0,0,0,2,NA,NA,1,2
"212","32074007003","96","967","32074","007","003",4,2022,1,NA,2,1,98,2022,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"213","32074007004","96","967","32074","007","004",4,2003,1,NA,2,1,98,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,0
"214","32074007006","96","967","32074","007","006",4,2022,1,NA,2,1,1,2022,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"215","32074007008","96","967","32074","007","008",4,2001,1,NA,2,1,98,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"216","32074007009","96","967","32074","007","009",4,2002,1,NA,2,1,98,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"217","32074007011","96","967","32074","007","011",4,2001,1,NA,1,1,98,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"218","32074007013","96","967","32074","007","013",4,2000,1,NA,2,1,4,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"219","32092013001","96","967","32092","013","001",4,2004,1,NA,2,1,98,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"220","32092013005","96","967","32092","013","005",4,2001,1,NA,2,1,98,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"221","32092013006","96","967","32092","013","006",4,2002,1,NA,2,1,98,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,0
"222","32092013008","96","967","32092","013","008",4,2004,1,NA,2,1,11,2022,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"223","32092013009","96","967","32092","013","009",4,2001,1,NA,2,1,98,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"224","32092013010","96","967","32092","013","010",4,2005,1,NA,2,1,98,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,0
"225","32092013012","96","967","32092","013","012",4,2003,1,NA,2,1,98,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,2
"226","32092013016","96","967","32092","013","016",4,2003,1,NA,2,2,98,2022,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi",0,0,0,0,2,NA,NA,1,0
"227","32146019001","96","969","32146","019","001",4,2005,2,1,2,1,1,2013,2,1,2,2,2,2,2,2,"","99","32146",999,1,"cá rô phi đơn tính",300,100,3,0,2,NA,NA,1,2
"228","32146019002","96","969","32146","019","002",4,2005,2,0,2,1,2,2013,2,1,2,2,2,2,2,2,"","99","32146",999,10,"Cá rô phi đơn tính",300,100,3,0,2,NA,NA,1,2
"229","32146019003","96","969","32146","019","003",4,2004,2,10,2,1,1,2013,2,1,2,2,2,2,2,2,"","99","32146",999,1,"Cá rô phi đơn tính",500,300,4,0,2,NA,NA,1,2
"230","32146019004","96","969","32146","019","004",4,2003,2,10,2,1,1,2013,2,1,2,2,2,2,2,2,"","99","32146",999,1,"Cá rô phi đơn tính",400,300,5,0,2,NA,NA,1,2
"231","32146019005","96","969","32146","019","005",4,2002,2,1,2,1,1,2013,2,1,2,2,2,2,2,2,"","99","32146",999,1,"Cá rô phi đơn tính",300,100,4,0,2,NA,NA,1,2
"232","32146019006","96","969","32146","019","006",4,2005,1,NA,2,1,8,2014,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi đơn tính",1000,300,0.5,500,2,NA,NA,1,2
"233","32146019007","96","969","32146","019","007",4,2000,1,NA,2,1,1,2015,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi đơn tính",500,200,0.5,300,2,NA,NA,1,3
"234","32146019008","96","969","32146","019","008",4,2001,1,NA,2,1,8,2022,2,1,2,2,2,2,2,2,"","Hoàng Út","32128",2.5,1,"Cá rô phi Đài Loan",1000,300,4,350,2,NA,NA,1,2
"235","32146019009","96","969","32146","019","009",4,2000,1,NA,2,1,1,2016,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi đơn tính",300,100,0.5,200,2,NA,NA,1,2
"236","32146019010","96","969","32146","019","010",4,2000,1,NA,2,1,1,2013,2,1,2,2,1,2,2,2,"","Hoàng Út","32128",3,10,"Cá rô Đài Loan",1000,300,3,300,2,NA,NA,1,2
"237","32146019012","96","969","32146","019","012",4,2000,1,NA,2,1,1,2015,2,1,2,2,1,2,2,2,"","Hoàng Út","32128",3,1,"Cá rô phi Đài Loan",500,150,4,200,2,NA,NA,1,2
"238","32146019014","96","969","32146","019","014",4,2000,1,NA,2,1,6,2013,2,1,2,2,1,2,2,2,"","Hoàng Út","32128",3.5,20,"Cá rô phi Đài Loan",1500,600,4,450,2,NA,NA,1,2
"239","32146019018","96","969","32146","019","018",4,2000,1,NA,2,1,1,2015,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi đơn tính",400,100,0.4,300,2,NA,NA,1,2
"240","32215015002","96","972","32215","015","002",4,2000,1,NA,2,1,1,2014,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thường",500,0,0.2,0,2,NA,NA,1,2
"241","32215015003","96","972","32215","015","003",4,2005,1,NA,2,1,1,2015,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi thường",9000,0,0.2,0,2,NA,NA,1,2
"242","32215015004","96","972","32215","015","004",4,2016,1,NA,2,1,1,2016,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi thường",900,0,0.3,0,2,NA,NA,1,2
"243","32215015005","96","972","32215","015","005",4,2015,1,NA,2,1,1,2015,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi thường",6000,0,0.3,0,2,NA,NA,1,2
"244","32215015006","96","972","32215","015","006",4,2014,1,NA,2,1,1,2014,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi thường",5000,0,0.3,0,2,NA,NA,1,2
"245","32215015007","96","972","32215","015","007",4,2014,1,NA,2,1,1,2014,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rô phi thường",4000,0,0.3,0,2,NA,NA,1,2
"246","32215015008","96","972","32215","015","008",4,2014,1,NA,2,1,1,2014,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá rôi phi thường",500,0,0.3,0,2,NA,NA,1,2
"247","32215015009","96","972","32215","015","009",4,2015,1,NA,2,1,1,2015,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thường",1000,0,0.8,0,2,NA,NA,1,2
"248","32215015010","96","972","32215","015","010",4,2003,1,NA,2,1,1,2016,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thường",1000,0,0.8,0,2,NA,NA,1,2
"249","32215015011","96","972","32215","015","011",4,2000,1,NA,2,1,2,2014,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thường",1500,0,0.8,0,2,NA,NA,1,2
"250","32215015014","96","972","32215","015","014",4,2003,1,NA,2,1,6,2017,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thường",1500,0,0.8,0,1,9,2023,1,1
